13-07-2022_12-29-43 | Received virt pos: (0.000000,1.117600,0.000000)
13-07-2022_12-29-43 | Received real pos: (0.000000,1.117600,0.000000)
13-07-2022_12-29-43 | Recommend Rotation: 0.000000
13-07-2022_12-29-43 | Received virt pos: (-0.058585,1.130142,0.162567)
13-07-2022_12-29-43 | Received real pos: (-0.657828,1.258427,1.825416)
13-07-2022_12-29-43 | Recommend Rotation: 0.000000
13-07-2022_12-29-43 | Received virt pos: (-0.065232,1.130253,0.168048)
13-07-2022_12-29-43 | Received real pos: (-0.133222,1.131388,0.224118)
13-07-2022_12-29-43 | Recommend Rotation: 0.000000
13-07-2022_12-29-43 | Received virt pos: (-0.065232,1.130253,0.168048)
13-07-2022_12-29-43 | Received real pos: (-0.133222,1.131388,0.224118)
13-07-2022_12-29-43 | Recommend Rotation: 0.000000
13-07-2022_12-29-43 | Received virt pos: (-0.073589,1.127813,0.164142)
13-07-2022_12-29-43 | Received real pos: (-0.159047,1.102856,0.124146)
13-07-2022_12-29-43 | Recommend Rotation: 0.000000
13-07-2022_12-29-43 | Received virt pos: (-0.075536,1.128728,0.161325)
13-07-2022_12-29-43 | Received real pos: (-0.095461,1.138088,0.132597)
13-07-2022_12-29-43 | Recommend Rotation: 0.250000
13-07-2022_12-29-43 | Received virt pos: (-0.077096,1.129968,0.157077)
13-07-2022_12-29-43 | Received real pos: (-0.093053,1.142651,0.113607)
13-07-2022_12-29-43 | Recommend Rotation: 0.250000
13-07-2022_12-29-43 | Received virt pos: (-0.077593,1.131828,0.154269)
13-07-2022_12-29-43 | Received real pos: (-0.082679,1.150852,0.125514)
13-07-2022_12-29-43 | Recommend Rotation: 0.250000
13-07-2022_12-29-43 | Received virt pos: (-0.077789,1.130641,0.154278)
13-07-2022_12-29-43 | Received real pos: (-0.079785,1.118500,0.154467)
13-07-2022_12-29-43 | Recommend Rotation: -0.250000
13-07-2022_12-29-43 | Received virt pos: (-0.078242,1.124149,0.155187)
13-07-2022_12-29-43 | Received real pos: (-0.082885,1.057746,0.164448)
13-07-2022_12-29-43 | Recommend Rotation: 0.002075
13-07-2022_12-29-44 | Received virt pos: (-0.078929,1.122910,0.164574)
13-07-2022_12-29-44 | Received real pos: (-0.085949,1.110238,0.260586)
13-07-2022_12-29-44 | Recommend Rotation: 0.245363
13-07-2022_12-29-44 | Received virt pos: (-0.080721,1.119150,0.178830)
13-07-2022_12-29-44 | Received real pos: (-0.099055,1.080691,0.324675)
13-07-2022_12-29-44 | Recommend Rotation: 0.170708
13-07-2022_12-29-44 | Received virt pos: (-0.082915,1.114075,0.199521)
13-07-2022_12-29-44 | Received real pos: (-0.105357,1.062165,0.411237)
13-07-2022_12-29-44 | Recommend Rotation: 0.144685
13-07-2022_12-29-44 | Received virt pos: (-0.082419,1.110841,0.220005)
13-07-2022_12-29-44 | Received real pos: (-0.077341,1.077763,0.429453)
13-07-2022_12-29-44 | Recommend Rotation: 0.202012
13-07-2022_12-29-44 | Received virt pos: (-0.079846,1.110746,0.253413)
