15-05-2022_16-11-51 | Received virt pos: (0.000000,1.117600,0.000000)
15-05-2022_16-11-51 | Received real pos: (0.000000,1.117600,0.000000)
15-05-2022_16-11-51 | Recommend Rotation: 0.000000
15-05-2022_16-11-51 | Received virt pos: (0.004067,1.099335,0.038317)
15-05-2022_16-11-51 | Received real pos: (-0.004067,-1.099335,-0.038317)
15-05-2022_16-11-51 | Recommend Rotation: 0.000000
15-05-2022_16-11-51 | Received virt pos: (0.009372,1.102021,0.029977)
15-05-2022_16-11-51 | Received real pos: (-0.009372,-1.102021,-0.029977)
15-05-2022_16-11-51 | Recommend Rotation: 0.000000
15-05-2022_16-11-51 | Received virt pos: (0.011657,1.099870,0.028071)
15-05-2022_16-11-51 | Received real pos: (-0.011657,-1.099870,-0.028071)
15-05-2022_16-11-51 | Recommend Rotation: 0.000000
15-05-2022_16-11-51 | Received virt pos: (0.009260,1.099018,0.029556)
15-05-2022_16-11-51 | Received real pos: (-0.009260,-1.099018,-0.029556)
15-05-2022_16-11-51 | Recommend Rotation: 0.250000
15-05-2022_16-11-51 | Received virt pos: (0.003449,1.099357,0.029477)
15-05-2022_16-11-51 | Received real pos: (-0.003449,-1.099357,-0.029477)
15-05-2022_16-11-51 | Recommend Rotation: 0.250000
15-05-2022_16-11-51 | Received virt pos: (0.003064,1.099065,0.028717)
15-05-2022_16-11-51 | Received real pos: (-0.003064,-1.099065,-0.028717)
15-05-2022_16-11-51 | Recommend Rotation: 0.250000
15-05-2022_16-11-52 | Received virt pos: (0.003742,1.098521,0.028325)
15-05-2022_16-11-52 | Received real pos: (-0.003742,-1.098521,-0.028325)
15-05-2022_16-11-52 | Recommend Rotation: 0.250000
15-05-2022_16-11-52 | Received virt pos: (0.004995,1.097578,0.029171)
15-05-2022_16-11-52 | Received real pos: (-0.004995,-1.097578,-0.029171)
15-05-2022_16-11-52 | Recommend Rotation: 0.250000
15-05-2022_16-11-52 | Received virt pos: (0.006261,1.099057,0.030452)
15-05-2022_16-11-52 | Received real pos: (-0.006261,-1.099057,-0.030452)
15-05-2022_16-11-52 | Recommend Rotation: 0.250000
15-05-2022_16-11-52 | Received virt pos: (0.007751,1.100407,0.031378)
15-05-2022_16-11-52 | Received real pos: (-0.007751,-1.100407,-0.031378)
15-05-2022_16-11-52 | Recommend Rotation: 0.250000
15-05-2022_16-11-52 | Received virt pos: (0.005486,1.102472,0.032094)
15-05-2022_16-11-52 | Received real pos: (-0.005486,-1.102472,-0.032094)
15-05-2022_16-11-52 | Recommend Rotation: 0.250000
15-05-2022_16-11-52 | Received virt pos: (-0.000782,1.104384,0.034144)
15-05-2022_16-11-52 | Received real pos: (0.000782,-1.104384,-0.034144)
15-05-2022_16-11-52 | Recommend Rotation: 0.250000
15-05-2022_16-11-52 | Received virt pos: (-0.007277,1.104604,0.037667)
15-05-2022_16-11-52 | Received real pos: (0.007277,-1.104604,-0.037667)
15-05-2022_16-11-52 | Recommend Rotation: 0.250000
15-05-2022_16-11-52 | Received virt pos: (-0.011029,1.103383,0.042055)
15-05-2022_16-11-52 | Received real pos: (0.011029,-1.103383,-0.042055)
15-05-2022_16-11-52 | Recommend Rotation: 0.250000
15-05-2022_16-11-52 | Received virt pos: (-0.015252,1.101305,0.050229)
15-05-2022_16-11-52 | Received real pos: (0.015252,-1.101305,-0.050229)
15-05-2022_16-11-52 | Recommend Rotation: 0.250000
15-05-2022_16-11-52 | Received virt pos: (-0.019855,1.102353,0.062573)
15-05-2022_16-11-52 | Received real pos: (0.019855,-1.102353,-0.062573)
15-05-2022_16-11-52 | Recommend Rotation: 0.250000
15-05-2022_16-11-52 | Received virt pos: (-0.024811,1.098803,0.072944)
15-05-2022_16-11-52 | Received real pos: (0.024811,-1.098803,-0.072944)
15-05-2022_16-11-52 | Recommend Rotation: 0.250000
15-05-2022_16-11-52 | Received virt pos: (-0.030758,1.095077,0.086944)
15-05-2022_16-11-52 | Received real pos: (0.030758,-1.095077,-0.086944)
15-05-2022_16-11-52 | Recommend Rotation: 0.250000
15-05-2022_16-11-52 | Received virt pos: (-0.034997,1.092160,0.098947)
15-05-2022_16-11-52 | Received real pos: (0.034997,-1.092160,-0.098947)
15-05-2022_16-11-52 | Recommend Rotation: 0.000461
15-05-2022_16-11-52 | Received virt pos: (-0.038698,1.090475,0.116102)
15-05-2022_16-11-52 | Received real pos: (0.038698,-1.090475,-0.116102)
15-05-2022_16-11-52 | Recommend Rotation: 0.109190
15-05-2022_16-11-52 | Received virt pos: (-0.039254,1.088299,0.135144)
15-05-2022_16-11-52 | Received real pos: (0.039254,-1.088299,-0.135144)
15-05-2022_16-11-52 | Recommend Rotation: 0.250000
15-05-2022_16-11-52 | Received virt pos: (-0.037420,1.088807,0.151429)
15-05-2022_16-11-52 | Received real pos: (0.037420,-1.088807,-0.151429)
15-05-2022_16-11-52 | Recommend Rotation: 0.250000
15-05-2022_16-11-52 | Received virt pos: (-0.033952,1.093731,0.177104)
15-05-2022_16-11-52 | Received real pos: (0.033952,-1.093731,-0.177104)
15-05-2022_16-11-52 | Recommend Rotation: 0.250000
15-05-2022_16-11-52 | Received virt pos: (-0.031379,1.088304,0.195531)
15-05-2022_16-11-52 | Received real pos: (0.031379,-1.088304,-0.195531)
15-05-2022_16-11-52 | Recommend Rotation: 0.250000
15-05-2022_16-11-52 | Received virt pos: (-0.026346,1.085909,0.220136)
15-05-2022_16-11-52 | Received real pos: (0.026346,-1.085909,-0.220136)
15-05-2022_16-11-52 | Recommend Rotation: 0.250000
15-05-2022_16-11-52 | Received virt pos: (-0.019021,1.081675,0.245865)
15-05-2022_16-11-52 | Received real pos: (0.019021,-1.081675,-0.245865)
15-05-2022_16-11-52 | Recommend Rotation: 0.250000
15-05-2022_16-11-53 | Received virt pos: (-0.010542,1.077833,0.264374)
15-05-2022_16-11-53 | Received real pos: (0.010542,-1.077833,-0.264374)
15-05-2022_16-11-53 | Recommend Rotation: 0.250000
15-05-2022_16-11-53 | Received virt pos: (0.001987,1.074132,0.287962)
15-05-2022_16-11-53 | Received real pos: (-0.001987,-1.074132,-0.287962)
15-05-2022_16-11-53 | Recommend Rotation: 0.250000
15-05-2022_16-11-53 | Received virt pos: (0.014103,1.070964,0.305597)
15-05-2022_16-11-53 | Received real pos: (-0.014103,-1.070964,-0.305597)
15-05-2022_16-11-53 | Recommend Rotation: 0.250000
15-05-2022_16-11-53 | Received virt pos: (0.032368,1.071126,0.328406)
15-05-2022_16-11-53 | Received real pos: (-0.032368,-1.071126,-0.328406)
15-05-2022_16-11-53 | Recommend Rotation: 0.250000
15-05-2022_16-11-53 | Received virt pos: (0.052063,1.074318,0.352620)
15-05-2022_16-11-53 | Received real pos: (-0.052063,-1.074318,-0.352620)
15-05-2022_16-11-53 | Recommend Rotation: 0.250000
15-05-2022_16-11-53 | Received virt pos: (0.066704,1.078085,0.370638)
15-05-2022_16-11-53 | Received real pos: (-0.066704,-1.078085,-0.370638)
