17-05-2022_21-09-22 | Received virt pos: (0.000000,1.117600,0.000000)
17-05-2022_21-09-22 | Received real pos: (0.000000,1.117600,0.000000)
17-05-2022_21-09-22 | Recommend Rotation: 0.000000
17-05-2022_21-09-22 | Received virt pos: (-0.079172,1.118815,0.313131)
17-05-2022_21-09-22 | Received real pos: (-0.888976,1.131242,3.515964)
17-05-2022_21-09-22 | Recommend Rotation: 0.000000
17-05-2022_21-09-22 | Received virt pos: (-0.054785,1.124212,0.344532)
17-05-2022_21-09-22 | Received real pos: (0.194656,1.179416,0.665716)
17-05-2022_21-09-22 | Recommend Rotation: 0.000000
17-05-2022_21-09-22 | Received virt pos: (-0.054785,1.124212,0.344532)
17-05-2022_21-09-22 | Received real pos: (0.194656,1.179416,0.665716)
17-05-2022_21-09-22 | Recommend Rotation: 0.000000
17-05-2022_21-09-23 | Received virt pos: (-0.019350,1.137039,0.382724)
17-05-2022_21-09-23 | Received real pos: (0.343090,1.268238,0.773365)
17-05-2022_21-09-23 | Recommend Rotation: 0.000000
17-05-2022_21-09-23 | Received virt pos: (-0.005632,1.138654,0.397779)
17-05-2022_21-09-23 | Received real pos: (0.134682,1.155173,0.551759)
17-05-2022_21-09-23 | Recommend Rotation: 0.250000
17-05-2022_21-09-23 | Received virt pos: (0.004616,1.139695,0.409953)
17-05-2022_21-09-23 | Received real pos: (0.109433,1.150343,0.534480)
17-05-2022_21-09-23 | Recommend Rotation: 0.250000
17-05-2022_21-09-23 | Received virt pos: (0.018517,1.140802,0.425586)
17-05-2022_21-09-23 | Received real pos: (0.160711,1.152125,0.585482)
17-05-2022_21-09-23 | Recommend Rotation: 0.250000
17-05-2022_21-09-23 | Received virt pos: (0.028579,1.140497,0.436965)
17-05-2022_21-09-23 | Received real pos: (0.131491,1.137377,0.553363)
17-05-2022_21-09-23 | Recommend Rotation: 0.250000
17-05-2022_21-09-23 | Received virt pos: (1.001873,1.140458,0.453253)
17-05-2022_21-09-23 | Received real pos: (0.177846,1.140059,0.619851)
17-05-2022_21-09-23 | Recommend Rotation: RESET:110.000000
17-05-2022_21-09-23 | Received virt pos: (0.054465,1.137876,0.472293)
17-05-2022_21-09-23 | Received real pos: (0.183268,1.111467,0.667043)
17-05-2022_21-09-23 | Recommend Rotation: 0.000000
17-05-2022_21-09-23 | Received virt pos: (0.063235,1.135398,0.488489)
17-05-2022_21-09-23 | Received real pos: (0.152934,1.110052,0.654141)
17-05-2022_21-09-23 | Recommend Rotation: 0.000000
17-05-2022_21-09-23 | Received virt pos: (0.073690,1.132475,0.511999)
17-05-2022_21-09-23 | Received real pos: (0.180634,1.102577,0.752473)
17-05-2022_21-09-23 | Recommend Rotation: 0.000000
17-05-2022_21-09-23 | Received virt pos: (0.082579,1.131275,0.536241)
17-05-2022_21-09-23 | Received real pos: (0.173499,1.119001,0.784192)
17-05-2022_21-09-23 | Recommend Rotation: 0.000000
17-05-2022_21-09-27 | Received virt pos: (1.946363,1.061713,1.313600)
17-05-2022_21-09-27 | Received real pos: (21.009888,0.350204,9.264743)
17-05-2022_21-09-27 | Recommend Rotation: 0.000000
17-05-2022_21-09-27 | Received virt pos: (1.978073,1.059236,1.303504)
17-05-2022_21-09-27 | Received real pos: (2.302416,1.033901,1.200239)
17-05-2022_21-09-27 | Recommend Rotation: 0.000000
17-05-2022_21-09-27 | Received virt pos: (2.019107,1.064782,1.289115)
17-05-2022_21-09-27 | Received real pos: (2.438820,1.121508,1.141938)
17-05-2022_21-09-27 | Recommend Rotation: 0.000000
17-05-2022_21-09-27 | Received virt pos: (2.061492,1.070810,1.272199)
17-05-2022_21-09-27 | Received real pos: (2.495021,1.132466,1.099176)
17-05-2022_21-09-27 | Recommend Rotation: 0.000000
17-05-2022_21-09-27 | Received virt pos: (2.091556,1.074579,1.259410)
17-05-2022_21-09-27 | Received real pos: (2.399064,1.113130,1.128599)
17-05-2022_21-09-27 | Recommend Rotation: 0.000000
17-05-2022_21-09-27 | Received virt pos: (2.130824,1.075350,1.243772)
17-05-2022_21-09-27 | Received real pos: (2.532473,1.083237,1.083820)
17-05-2022_21-09-27 | Recommend Rotation: 0.000000
17-05-2022_21-09-27 | Received virt pos: (2.160697,1.074983,1.231573)
17-05-2022_21-09-27 | Received real pos: (2.466249,1.071229,1.106796)
17-05-2022_21-09-27 | Recommend Rotation: 0.000000
17-05-2022_21-09-27 | Received virt pos: (2.201335,1.072697,1.213809)
17-05-2022_21-09-27 | Received real pos: (2.616996,1.049315,1.032112)
17-05-2022_21-09-27 | Recommend Rotation: 0.000000
17-05-2022_21-09-27 | Received virt pos: (2.240697,1.065501,1.196208)
17-05-2022_21-09-27 | Received real pos: (2.643307,0.991897,1.016178)
17-05-2022_21-09-27 | Recommend Rotation: 0.000000
17-05-2022_21-09-27 | Received virt pos: (2.267313,1.059186,1.183265)
17-05-2022_21-09-27 | Received real pos: (2.539553,0.994594,1.050878)
17-05-2022_21-09-27 | Recommend Rotation: 0.000000
17-05-2022_21-09-27 | Received virt pos: (2.301007,1.056964,1.165283)
17-05-2022_21-09-27 | Received real pos: (2.645643,1.034237,0.981356)
17-05-2022_21-09-27 | Recommend Rotation: 0.000000
17-05-2022_21-09-27 | Received virt pos: (2.333364,1.056567,1.146302)
17-05-2022_21-09-27 | Received real pos: (2.664324,1.052505,0.952157)
17-05-2022_21-09-27 | Recommend Rotation: 0.000000
