Time,VirtualPosition,RealPosition,Recommendation
"2022-05-17 21:09:37","(-0.605511,1.092153,-0.649770)","(-23.629207,1.665669,8.567576)",0.000000
"2022-05-17 21:09:37","(-0.618447,1.096353,-0.615330)","(-0.750770,1.139313,-0.263063)",0.000000
"2022-05-17 21:09:37","(-0.634667,1.105968,-0.576311)","(-0.800564,1.204313,-0.177208)",0.000000
"2022-05-17 21:09:37","(-0.647093,1.108544,-0.548771)","(-0.774196,1.134892,-0.267089)",0.000000
"2022-05-17 21:09:37","(-0.664407,1.109124,-0.511373)","(-0.841495,1.115056,-0.128847)",0.000000
"2022-05-17 21:09:37","(-0.677406,1.108796,-0.482898)","(-0.810363,1.105442,-0.191642)",0.000000
"2022-05-17 21:09:37","(-0.694623,1.108897,-0.443293)","(-0.870727,1.109930,-0.038195)",0.000000
"2022-05-17 21:09:37","(-0.712446,1.106623,-0.401509)","(-0.894744,1.083365,0.025872)",0.000000
"2022-05-17 21:09:37","(-0.726268,1.103224,-0.369912)","(-0.867644,1.068458,-0.046728)",0.000000
"2022-05-17 21:09:38","(-0.745610,1.093440,-0.329258)","(-0.943447,0.993366,0.086568)",0.000000
"2022-05-17 21:09:38","(-0.765961,1.090408,-0.289192)","(-0.974129,1.059395,0.120617)",0.000000
"2022-05-17 21:09:38","(-0.783725,1.101017,-0.253435)","(-0.965416,1.209530,0.112307)",0.000000
"2022-05-17 21:09:38","(-0.804837,1.103698,-0.210875)","(-1.020776,1.131121,0.224442)",0.000000
"2022-05-17 21:09:38","(-0.815864,1.103095,-0.186575)","(-0.928657,1.096928,0.061981)",0.000000
"2022-05-17 21:09:38","(-0.833158,1.115112,-0.144047)","(-1.010049,1.238026,0.290938)",RESET:110.000000
"2022-05-17 21:09:38","(-0.844607,1.120881,-0.106310)","(-0.961712,1.179889,0.279678)",0.000000
"2022-05-17 21:09:38","(-0.853603,1.125665,-0.075002)","(-0.945618,1.174597,0.245236)",0.000000
"2022-05-17 21:09:38","(-0.863602,1.129058,-0.034995)","(-0.965872,1.163764,0.374209)",0.000000
"2022-05-17 21:09:38","(-0.873422,1.129750,0.007102)","(-0.973871,1.136828,0.437688)",0.000000
"2022-05-17 21:09:42","(-0.177064,1.147898,2.356970)","(6.945565,1.333522,26.392361)",0.000000
"2022-05-17 21:09:42","(-0.144267,1.146179,2.363313)","(0.191201,1.128596,2.428191)",0.000000
"2022-05-17 21:09:42","(-0.099649,1.148454,2.377107)","(0.356722,1.171723,2.518197)",0.000000
"2022-05-17 21:09:42","(-0.054180,1.151671,2.394101)","(0.410892,1.184577,2.567922)",0.000000
"2022-05-17 21:09:42","(-0.016158,1.155688,2.409304)","(0.372743,1.196775,2.564806)",0.000000
"2022-05-17 21:09:42","(0.028960,1.153543,2.427946)","(0.490452,1.131603,2.618626)",0.000000
"2022-05-17 21:09:42","(0.060198,1.146068,2.438220)","(0.379707,1.069610,2.543306)",0.000000
"2022-05-17 21:09:42","(0.097779,1.134878,2.452963)","(0.482176,1.020423,2.603761)",0.000000
"2022-05-17 21:09:42","(0.134272,1.123702,2.467744)","(0.507531,1.009390,2.618930)",0.000000
"2022-05-17 21:09:42","(0.164097,1.120881,2.479044)","(0.469160,1.092026,2.594623)",0.000000
"2022-05-17 21:09:43","(0.202059,1.109977,2.494199)","(0.590348,0.998447,2.649211)",0.000000
"2022-05-17 21:09:43","(0.245271,1.114698,2.508124)","(0.687260,1.162987,2.650555)",0.000000
"2022-05-17 21:09:43","(0.282753,1.113485,2.516405)","(0.666137,1.101077,2.601106)",0.000000
"2022-05-17 21:09:43","(0.330160,1.115887,2.528861)","(0.815057,1.140456,2.656265)",0.000000
"2022-05-17 21:09:43","(0.367108,1.116186,2.537339)","(0.745030,1.119244,2.624055)",0.000000
"2022-05-17 21:09:43","(0.416804,1.113773,2.548055)","(0.925116,1.089092,2.657662)",0.000000
"2022-05-17 21:09:43","(0.466258,1.107723,2.556194)","(0.972095,1.045841,2.639444)",RESET:110.000000
"2022-05-17 21:09:43","(0.501724,1.102196,2.560794)","(0.864475,1.045663,2.607845)",0.000000
"2022-05-17 21:09:43","(0.545955,1.096538,2.564424)","(0.998368,1.038665,2.601552)",0.000000
"2022-05-17 21:09:43","(0.592365,1.094355,2.568326)","(1.067066,1.072027,2.608237)",0.000000
"2022-05-17 21:09:43","(0.630383,1.099711,2.572199)","(1.019248,1.154494,2.611815)",0.000000
"2022-05-17 21:09:43","(0.677482,1.103259,2.575346)","(1.159231,1.139550,2.607534)",0.000000
"2022-05-17 21:09:47","(2.091744,1.043041,0.476995)","(16.557381,0.427107,-20.985773)",0.000000
"2022-05-17 21:09:47","(2.091492,1.038017,0.432297)","(2.088914,0.986630,-0.024895)",0.000000
"2022-05-17 21:09:47","(2.089816,1.043691,0.396230)","(2.072675,1.101727,0.027322)",0.000000
"2022-05-17 21:09:47","(2.085201,1.049076,0.349136)","(2.037996,1.104155,-0.132563)",0.000000
"2022-05-17 21:09:47","(2.079488,1.050922,0.315235)","(2.021053,1.069804,-0.031521)",0.000000
"2022-05-17 21:09:47","(2.071081,1.051628,0.270200)","(1.985090,1.058849,-0.190435)",0.000000
"2022-05-17 21:09:47","(2.060840,1.050633,0.224388)","(1.956091,1.040455,-0.244192)",0.000000
"2022-05-17 21:09:47","(2.051604,1.048301,0.189213)","(1.957136,1.024449,-0.170574)",0.000000
"2022-05-17 21:09:48","(2.038136,1.042443,0.141870)","(1.900380,0.982526,-0.342371)",0.000000
"2022-05-17 21:09:48","(2.024159,1.033329,0.098749)","(1.881196,0.940107,-0.342314)",0.000000
"2022-05-17 21:09:48","(2.013069,1.036601,0.067453)","(1.899636,1.070068,-0.252647)",0.000000
"2022-05-17 21:09:48","(1.996410,1.055122,0.017020)","(1.826016,1.244563,-0.498830)",0.000000
"2022-05-17 21:09:48","(1.986019,1.054725,-0.011869)","(1.879736,1.050665,-0.307359)",0.000000
"2022-05-17 21:09:48","(1.974867,1.052115,-0.048819)","(1.860800,1.025418,-0.426754)",0.000000
"2022-05-17 21:09:48","(1.965707,1.060295,-0.094375)","(1.872014,1.143964,-0.560340)",0.000000
"2022-05-17 21:09:48","(1.961772,1.061823,-0.122821)","(1.921523,1.077452,-0.413785)",RESET:110.000000
"2022-05-17 21:09:48","(1.956634,1.066489,-0.161680)","(1.904081,1.114214,-0.559139)",0.000000
"2022-05-17 21:09:48","(1.950476,1.070111,-0.199769)","(1.887490,1.107159,-0.589367)",0.000000
"2022-05-17 21:09:48","(1.945825,1.071962,-0.229802)","(1.898252,1.090894,-0.536983)",0.000000
"2022-05-17 21:09:48","(1.940586,1.072412,-0.271050)","(1.886999,1.077015,-0.692954)",0.000000
"2022-05-17 21:09:52","(-0.257310,1.080866,-0.656040)","(-22.738269,1.167337,-4.593874)",0.000000
