14-05-2022_21-39-46 | Received virt pos: (0.000000,1.117600,0.000000)
14-05-2022_21-39-46 | Received real pos: (-3.750000,1.117600,3.750000)
14-05-2022_21-39-46 | Recommend Rotation: 0.000000
14-05-2022_21-39-46 | Received virt pos: (0.022992,1.139542,0.006628)
14-05-2022_21-39-46 | Received real pos: (-3.772992,-1.139542,3.743372)
14-05-2022_21-39-46 | Recommend Rotation: 0.000000
14-05-2022_21-39-46 | Received virt pos: (0.023007,1.139795,0.009640)
14-05-2022_21-39-46 | Received real pos: (-3.773007,-1.139795,3.740360)
14-05-2022_21-39-46 | Recommend Rotation: 0.000000
14-05-2022_21-39-46 | Received virt pos: (0.023007,1.139795,0.009640)
14-05-2022_21-39-46 | Received real pos: (-3.773007,-1.139795,3.740360)
14-05-2022_21-39-46 | Recommend Rotation: 0.000000
14-05-2022_21-39-46 | Received virt pos: (0.023402,1.138398,0.013809)
14-05-2022_21-39-46 | Received real pos: (-3.773402,-1.138398,3.736191)
14-05-2022_21-39-46 | Recommend Rotation: 0.000000
14-05-2022_21-39-46 | Received virt pos: (0.023458,1.138376,0.014928)
14-05-2022_21-39-46 | Received real pos: (-3.773458,-1.138376,3.735072)
14-05-2022_21-39-46 | Recommend Rotation: 0.250000
14-05-2022_21-39-46 | Received virt pos: (0.023415,1.137619,0.015768)
14-05-2022_21-39-46 | Received real pos: (-3.773415,-1.137619,3.734232)
14-05-2022_21-39-46 | Recommend Rotation: 0.250000
14-05-2022_21-39-46 | Received virt pos: (0.023509,1.137666,0.016323)
14-05-2022_21-39-46 | Received real pos: (-3.773509,-1.137666,3.733677)
14-05-2022_21-39-46 | Recommend Rotation: 0.250000
14-05-2022_21-39-46 | Received virt pos: (0.023280,1.137392,0.016659)
14-05-2022_21-39-46 | Received real pos: (-3.773280,-1.137392,3.733341)
14-05-2022_21-39-46 | Recommend Rotation: 0.195300
14-05-2022_21-39-46 | Received virt pos: (0.023305,1.137347,0.016649)
14-05-2022_21-39-46 | Received real pos: (-3.773305,-1.137347,3.733351)
14-05-2022_21-39-46 | Recommend Rotation: 0.250000
14-05-2022_21-39-46 | Received virt pos: (0.023625,1.138117,0.016802)
14-05-2022_21-39-46 | Received real pos: (-3.773625,-1.138117,3.733198)
14-05-2022_21-39-46 | Recommend Rotation: 0.250000
14-05-2022_21-39-46 | Received virt pos: (0.025197,1.139234,0.018738)
14-05-2022_21-39-46 | Received real pos: (-3.775197,-1.139234,3.731262)
14-05-2022_21-39-46 | Recommend Rotation: 0.250000
14-05-2022_21-39-46 | Received virt pos: (0.026181,1.139732,0.020856)
14-05-2022_21-39-46 | Received real pos: (-3.776181,-1.139732,3.729144)
14-05-2022_21-39-46 | Recommend Rotation: 0.250000
14-05-2022_21-39-46 | Received virt pos: (0.027213,1.140044,0.023877)
14-05-2022_21-39-46 | Received real pos: (-3.777213,-1.140044,3.726123)
14-05-2022_21-39-46 | Recommend Rotation: 0.250000
14-05-2022_21-39-46 | Received virt pos: (0.026983,1.140045,0.026248)
14-05-2022_21-39-46 | Received real pos: (-3.776983,-1.140045,3.723752)
14-05-2022_21-39-46 | Recommend Rotation: 0.250000
14-05-2022_21-39-46 | Received virt pos: (0.027318,1.141924,0.028150)
14-05-2022_21-39-46 | Received real pos: (-3.777318,-1.141924,3.721850)
14-05-2022_21-39-46 | Recommend Rotation: 0.250000
14-05-2022_21-39-46 | Received virt pos: (0.028268,1.142972,0.031288)
14-05-2022_21-39-46 | Received real pos: (-3.778268,-1.142972,3.718712)
14-05-2022_21-39-46 | Recommend Rotation: 0.250000
14-05-2022_21-39-46 | Received virt pos: (0.029451,1.144147,0.034614)
14-05-2022_21-39-46 | Received real pos: (-3.779451,-1.144147,3.715386)
14-05-2022_21-39-46 | Recommend Rotation: 0.250000
14-05-2022_21-39-46 | Received virt pos: (0.031359,1.146844,0.040175)
14-05-2022_21-39-46 | Received real pos: (-3.781359,-1.146844,3.709825)
14-05-2022_21-39-46 | Recommend Rotation: 0.250000
14-05-2022_21-39-46 | Received virt pos: (0.033485,1.150373,0.047625)
14-05-2022_21-39-46 | Received real pos: (-3.783485,-1.150373,3.702375)
14-05-2022_21-39-46 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (0.034057,1.152013,0.052442)
14-05-2022_21-39-47 | Received real pos: (-3.784057,-1.152013,3.697558)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (0.032981,1.151511,0.058538)
14-05-2022_21-39-47 | Received real pos: (-3.782981,-1.151511,3.691462)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (0.029983,1.151356,0.061512)
14-05-2022_21-39-47 | Received real pos: (-3.779983,-1.151356,3.688488)
14-05-2022_21-39-47 | Recommend Rotation: 0.018853
14-05-2022_21-39-47 | Received virt pos: (0.023881,1.148190,0.062911)
14-05-2022_21-39-47 | Received real pos: (-3.773881,-1.148190,3.687089)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (0.016781,1.145095,0.063193)
14-05-2022_21-39-47 | Received real pos: (-3.766781,-1.145095,3.686807)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (0.013153,1.145616,0.064290)
14-05-2022_21-39-47 | Received real pos: (-3.763153,-1.145616,3.685710)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (0.010899,1.146163,0.067731)
14-05-2022_21-39-47 | Received real pos: (-3.760899,-1.146163,3.682269)
14-05-2022_21-39-47 | Recommend Rotation: 0.224280
14-05-2022_21-39-47 | Received virt pos: (0.009693,1.147936,0.071238)
14-05-2022_21-39-47 | Received real pos: (-3.759693,-1.147936,3.678762)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (0.009345,1.149566,0.073189)
14-05-2022_21-39-47 | Received real pos: (-3.759345,-1.149566,3.676811)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (0.008606,1.148026,0.073929)
14-05-2022_21-39-47 | Received real pos: (-3.758606,-1.148026,3.676071)
14-05-2022_21-39-47 | Recommend Rotation: 0.020453
14-05-2022_21-39-47 | Received virt pos: (0.009061,1.149191,0.076212)
14-05-2022_21-39-47 | Received real pos: (-3.759061,-1.149191,3.673788)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (0.011513,1.151054,0.081476)
14-05-2022_21-39-47 | Received real pos: (-3.761513,-1.151054,3.668524)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (0.015096,1.150586,0.086991)
14-05-2022_21-39-47 | Received real pos: (-3.765096,-1.150586,3.663009)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (0.018214,1.148790,0.089544)
14-05-2022_21-39-47 | Received real pos: (-3.768214,-1.148790,3.660456)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (0.023641,1.147613,0.093067)
14-05-2022_21-39-47 | Received real pos: (-3.773641,-1.147613,3.656933)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (0.029125,1.147186,0.095666)
14-05-2022_21-39-47 | Received real pos: (-3.779125,-1.147186,3.654334)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (0.037140,1.146554,0.100081)
14-05-2022_21-39-47 | Received real pos: (-3.787140,-1.146554,3.649919)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (0.046519,1.146560,0.106188)
14-05-2022_21-39-47 | Received real pos: (-3.796519,-1.146560,3.643812)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (0.054657,1.146139,0.111871)
14-05-2022_21-39-47 | Received real pos: (-3.804657,-1.146139,3.638129)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (0.066481,1.144858,0.120392)
14-05-2022_21-39-47 | Received real pos: (-3.816481,-1.144858,3.629608)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (0.078157,1.143750,0.130817)
14-05-2022_21-39-48 | Received real pos: (-3.828157,-1.143750,3.619183)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (0.086140,1.142080,0.139322)
14-05-2022_21-39-48 | Received real pos: (-3.836140,-1.142080,3.610678)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (0.095800,1.142050,0.152033)
14-05-2022_21-39-48 | Received real pos: (-3.845800,-1.142050,3.597967)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (0.102540,1.144168,0.163013)
14-05-2022_21-39-48 | Received real pos: (-3.852540,-1.144168,3.586987)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (0.110968,1.147169,0.179611)
14-05-2022_21-39-48 | Received real pos: (-3.860968,-1.147169,3.570389)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (0.117992,1.148013,0.197235)
14-05-2022_21-39-48 | Received real pos: (-3.867992,-1.148013,3.552765)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (0.122978,1.149626,0.211812)
14-05-2022_21-39-48 | Received real pos: (-3.872978,-1.149626,3.538188)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (0.129235,1.151500,0.233550)
14-05-2022_21-39-48 | Received real pos: (-3.879235,-1.151500,3.516450)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (0.133526,1.150477,0.250516)
14-05-2022_21-39-48 | Received real pos: (-3.883526,-1.150477,3.499484)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (0.137499,1.148752,0.273057)
14-05-2022_21-39-48 | Received real pos: (-3.887499,-1.148752,3.476943)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (0.140432,1.145700,0.295238)
14-05-2022_21-39-48 | Received real pos: (-3.890432,-1.145700,3.454762)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (0.143115,1.146233,0.315403)
14-05-2022_21-39-48 | Received real pos: (-3.893115,-1.146233,3.434597)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (0.148485,1.150817,0.346935)
14-05-2022_21-39-48 | Received real pos: (-3.898485,-1.150817,3.403065)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (0.152515,1.149427,0.368378)
14-05-2022_21-39-48 | Received real pos: (-3.902515,-1.149427,3.381622)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (0.158203,1.147828,0.393526)
14-05-2022_21-39-48 | Received real pos: (-3.908203,-1.147828,3.356474)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (0.164394,1.148420,0.416212)
14-05-2022_21-39-48 | Received real pos: (-3.914394,-1.148420,3.333788)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (0.170538,1.151078,0.431997)
14-05-2022_21-39-48 | Received real pos: (-3.920538,-1.151078,3.318003)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (0.180288,1.152678,0.452428)
14-05-2022_21-39-48 | Received real pos: (-3.930288,-1.152678,3.297572)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (0.191335,1.153580,0.471587)
