14-05-2022_21-39-46 | Received virt pos: (0.000000,1.117600,0.000000)
14-05-2022_21-39-46 | Received real pos: (3.750000,1.117600,-3.750000)
14-05-2022_21-39-46 | Recommend Rotation: 0.000000
14-05-2022_21-39-46 | Received virt pos: (-0.598261,1.102764,0.263944)
14-05-2022_21-39-46 | Received real pos: (3.151739,1.102764,-3.486056)
14-05-2022_21-39-46 | Recommend Rotation: 0.000000
14-05-2022_21-39-46 | Received virt pos: (-0.597579,1.109676,0.261812)
14-05-2022_21-39-46 | Received real pos: (3.152421,1.109676,-3.488188)
14-05-2022_21-39-46 | Recommend Rotation: 0.000000
14-05-2022_21-39-46 | Received virt pos: (-0.598442,1.112761,0.259809)
14-05-2022_21-39-46 | Received real pos: (3.151558,1.112761,-3.490191)
14-05-2022_21-39-46 | Recommend Rotation: 0.000000
14-05-2022_21-39-46 | Received virt pos: (-0.599077,1.112264,0.259418)
14-05-2022_21-39-46 | Received real pos: (3.150923,1.112264,-3.490582)
14-05-2022_21-39-46 | Recommend Rotation: 0.250000
14-05-2022_21-39-46 | Received virt pos: (-0.599621,1.112952,0.259087)
14-05-2022_21-39-46 | Received real pos: (3.150379,1.112952,-3.490913)
14-05-2022_21-39-46 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (-0.600694,1.112579,0.259397)
14-05-2022_21-39-47 | Received real pos: (3.149306,1.112579,-3.490603)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (-0.601013,1.111228,0.259475)
14-05-2022_21-39-47 | Received real pos: (3.148987,1.111228,-3.490525)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (-0.601244,1.110321,0.259331)
14-05-2022_21-39-47 | Received real pos: (3.148756,1.110321,-3.490669)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (-0.600423,1.108749,0.259370)
14-05-2022_21-39-47 | Received real pos: (3.149577,1.108749,-3.490630)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (-0.599322,1.107581,0.259538)
14-05-2022_21-39-47 | Received real pos: (3.150678,1.107581,-3.490462)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (-0.597732,1.103561,0.260179)
14-05-2022_21-39-47 | Received real pos: (3.152268,1.103561,-3.489821)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (-0.595785,1.099141,0.261405)
14-05-2022_21-39-47 | Received real pos: (3.154215,1.099141,-3.488595)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (-0.594097,1.095188,0.263432)
14-05-2022_21-39-47 | Received real pos: (3.155903,1.095188,-3.486568)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (-0.592294,1.090693,0.268239)
14-05-2022_21-39-47 | Received real pos: (3.157706,1.090693,-3.481761)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (-0.590313,1.091152,0.271706)
14-05-2022_21-39-47 | Received real pos: (3.159687,1.091152,-3.478294)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (-0.587198,1.090383,0.274132)
14-05-2022_21-39-47 | Received real pos: (3.162802,1.090383,-3.475868)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (-0.584812,1.090489,0.274070)
14-05-2022_21-39-47 | Received real pos: (3.165188,1.090489,-3.475930)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (-0.583675,1.090778,0.273851)
14-05-2022_21-39-47 | Received real pos: (3.166325,1.090778,-3.476149)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (-0.582515,1.091161,0.273205)
14-05-2022_21-39-47 | Received real pos: (3.167485,1.091161,-3.476795)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (-0.582201,1.091205,0.273508)
14-05-2022_21-39-47 | Received real pos: (3.167799,1.091205,-3.476492)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (-0.583181,1.090575,0.275717)
14-05-2022_21-39-47 | Received real pos: (3.166819,1.090575,-3.474283)
14-05-2022_21-39-47 | Recommend Rotation: 0.299118
14-05-2022_21-39-47 | Received virt pos: (-0.585163,1.090432,0.280553)
14-05-2022_21-39-47 | Received real pos: (3.164837,1.090432,-3.469447)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (-0.588358,1.088870,0.285212)
14-05-2022_21-39-47 | Received real pos: (3.161642,1.088870,-3.464788)
14-05-2022_21-39-47 | Recommend Rotation: 0.115278
14-05-2022_21-39-47 | Received virt pos: (-0.591284,1.089090,0.288218)
14-05-2022_21-39-47 | Received real pos: (3.158716,1.089090,-3.461782)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-47 | Received virt pos: (-0.591440,1.089129,0.289132)
14-05-2022_21-39-47 | Received real pos: (3.158560,1.089129,-3.460868)
14-05-2022_21-39-47 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (-0.590518,1.088696,0.289303)
14-05-2022_21-39-48 | Received real pos: (3.159482,1.088696,-3.460697)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (-0.589351,1.088829,0.289955)
14-05-2022_21-39-48 | Received real pos: (3.160649,1.088829,-3.460045)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (-0.588737,1.088379,0.290808)
14-05-2022_21-39-48 | Received real pos: (3.161263,1.088379,-3.459192)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (-0.588194,1.088009,0.292334)
14-05-2022_21-39-48 | Received real pos: (3.161806,1.088009,-3.457666)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (-0.588374,1.088125,0.294987)
14-05-2022_21-39-48 | Received real pos: (3.161626,1.088125,-3.455013)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (-0.589131,1.087545,0.296944)
14-05-2022_21-39-48 | Received real pos: (3.160869,1.087545,-3.453056)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (-0.589859,1.088958,0.300083)
14-05-2022_21-39-48 | Received real pos: (3.160141,1.088958,-3.449917)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (-0.593517,1.093250,0.308480)
14-05-2022_21-39-48 | Received real pos: (3.156483,1.093250,-3.441520)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (-0.601574,1.097539,0.318318)
14-05-2022_21-39-48 | Received real pos: (3.148426,1.097539,-3.431682)
14-05-2022_21-39-48 | Recommend Rotation: 0.029976
14-05-2022_21-39-48 | Received virt pos: (-0.617212,1.097221,0.329156)
14-05-2022_21-39-48 | Received real pos: (3.132788,1.097221,-3.420844)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (-0.627236,1.095477,0.333978)
14-05-2022_21-39-48 | Received real pos: (3.122764,1.095477,-3.416022)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (-0.633789,1.095673,0.337929)
14-05-2022_21-39-48 | Received real pos: (3.116211,1.095673,-3.412071)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (-0.637066,1.095560,0.343130)
14-05-2022_21-39-48 | Received real pos: (3.112934,1.095560,-3.406870)
14-05-2022_21-39-48 | Recommend Rotation: 0.148006
14-05-2022_21-39-48 | Received virt pos: (-0.637088,1.094702,0.346120)
14-05-2022_21-39-48 | Received real pos: (3.112912,1.094702,-3.403880)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (-0.633452,1.094855,0.348344)
14-05-2022_21-39-48 | Received real pos: (3.116548,1.094855,-3.401656)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (-0.628622,1.097685,0.349694)
14-05-2022_21-39-48 | Received real pos: (3.121378,1.097685,-3.400306)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (-0.619950,1.097202,0.349698)
14-05-2022_21-39-48 | Received real pos: (3.130050,1.097202,-3.400302)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (-0.610286,1.094173,0.348000)
14-05-2022_21-39-48 | Received real pos: (3.139714,1.094173,-3.402000)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (-0.601266,1.097552,0.346149)
14-05-2022_21-39-48 | Received real pos: (3.148734,1.097552,-3.403851)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-48 | Received virt pos: (-0.589270,1.099202,0.344261)
14-05-2022_21-39-48 | Received real pos: (3.160730,1.099202,-3.405739)
14-05-2022_21-39-48 | Recommend Rotation: 0.250000
14-05-2022_21-39-49 | Received virt pos: (-0.579588,1.098268,0.340515)
14-05-2022_21-39-49 | Received real pos: (3.170412,1.098268,-3.409485)
14-05-2022_21-39-49 | Recommend Rotation: 0.250000
14-05-2022_21-39-49 | Received virt pos: (-0.573901,1.100103,0.337958)
14-05-2022_21-39-49 | Received real pos: (3.176099,1.100103,-3.412042)
14-05-2022_21-39-49 | Recommend Rotation: 0.250000
14-05-2022_21-39-49 | Received virt pos: (-0.569685,1.102452,0.333629)
14-05-2022_21-39-49 | Received real pos: (3.180315,1.102452,-3.416371)
14-05-2022_21-39-49 | Recommend Rotation: 0.250000
14-05-2022_21-39-49 | Received virt pos: (-0.568440,1.102874,0.328583)
14-05-2022_21-39-49 | Received real pos: (3.181560,1.102874,-3.421417)
14-05-2022_21-39-49 | Recommend Rotation: 0.250000
14-05-2022_21-39-49 | Received virt pos: (-0.566913,1.101601,0.321878)
14-05-2022_21-39-49 | Received real pos: (3.183087,1.101601,-3.428122)
14-05-2022_21-39-49 | Recommend Rotation: 0.250000
14-05-2022_21-39-49 | Received virt pos: (-0.566133,1.095086,0.315996)
14-05-2022_21-39-49 | Received real pos: (3.183867,1.095086,-3.434004)
14-05-2022_21-39-49 | Recommend Rotation: 0.250000
14-05-2022_21-39-49 | Received virt pos: (-0.565608,1.093800,0.313228)
14-05-2022_21-39-49 | Received real pos: (3.184392,1.093800,-3.436772)
14-05-2022_21-39-49 | Recommend Rotation: 0.250000
14-05-2022_21-39-49 | Received virt pos: (-0.566536,1.104541,0.313032)
14-05-2022_21-39-49 | Received real pos: (3.183464,1.104541,-3.436968)
14-05-2022_21-39-49 | Recommend Rotation: 0.250000
14-05-2022_21-39-49 | Received virt pos: (-0.568286,1.099262,0.311678)
14-05-2022_21-39-49 | Received real pos: (3.181714,1.099262,-3.438322)
14-05-2022_21-39-49 | Recommend Rotation: 0.250000
14-05-2022_21-39-49 | Received virt pos: (-0.570050,1.098580,0.310912)
14-05-2022_21-39-49 | Received real pos: (3.179950,1.098580,-3.439088)
14-05-2022_21-39-49 | Recommend Rotation: 0.250000
14-05-2022_21-39-49 | Received virt pos: (-0.570493,1.096971,0.310828)
14-05-2022_21-39-49 | Received real pos: (3.179507,1.096971,-3.439172)
14-05-2022_21-39-49 | Recommend Rotation: 0.250000
14-05-2022_21-39-49 | Received virt pos: (-0.569700,1.098354,0.310832)
14-05-2022_21-39-49 | Received real pos: (3.180300,1.098354,-3.439168)
14-05-2022_21-39-49 | Recommend Rotation: 0.250000
14-05-2022_21-39-49 | Received virt pos: (-0.566945,1.101151,0.313795)
