13-07-2022_12-17-08 | Received virt pos: (0.000000,1.117600,0.000000)
13-07-2022_12-17-08 | Received real pos: (0.000000,1.117600,0.000000)
13-07-2022_12-17-08 | Recommend Rotation: 0.000000
13-07-2022_12-17-08 | Received virt pos: (-0.026451,1.134249,0.019272)
13-07-2022_12-17-08 | Received real pos: (-0.297004,1.304542,0.216392)
13-07-2022_12-17-08 | Recommend Rotation: 0.000000
13-07-2022_12-17-08 | Received virt pos: (-0.026451,1.134249,0.019272)
13-07-2022_12-17-08 | Received real pos: (-0.297004,1.304542,0.216392)
13-07-2022_12-17-08 | Recommend Rotation: 0.000000
13-07-2022_12-17-08 | Received virt pos: (-0.026451,1.134249,0.019272)
13-07-2022_12-17-08 | Received real pos: (-0.297004,1.304542,0.216392)
13-07-2022_12-17-08 | Recommend Rotation: 0.000000
13-07-2022_12-17-08 | Received virt pos: (-0.022018,1.129165,0.023778)
13-07-2022_12-17-08 | Received real pos: (0.023317,1.077165,0.069934)
13-07-2022_12-17-08 | Recommend Rotation: 0.000000
13-07-2022_12-17-08 | Received virt pos: (-0.022018,1.129165,0.023778)
13-07-2022_12-17-08 | Received real pos: (0.023317,1.077165,0.069934)
13-07-2022_12-17-08 | Recommend Rotation: 0.000000
13-07-2022_12-17-08 | Received virt pos: (-0.005734,1.123852,0.025502)
13-07-2022_12-17-08 | Received real pos: (0.160831,1.069508,0.043199)
13-07-2022_12-17-08 | Recommend Rotation: 0.000000
13-07-2022_12-17-08 | Received virt pos: (-0.000691,1.121752,0.023804)
13-07-2022_12-17-08 | Received real pos: (0.050890,1.100272,0.006450)
13-07-2022_12-17-08 | Recommend Rotation: 0.250000
13-07-2022_12-17-08 | Received virt pos: (0.003371,1.118707,0.021296)
13-07-2022_12-17-08 | Received real pos: (0.044917,1.087561,-0.004277)
13-07-2022_12-17-08 | Recommend Rotation: 0.250000
13-07-2022_12-17-08 | Received virt pos: (0.005703,1.115910,0.020178)
13-07-2022_12-17-08 | Received real pos: (0.029554,1.087302,0.008659)
13-07-2022_12-17-08 | Recommend Rotation: 0.250000
13-07-2022_12-17-08 | Received virt pos: (0.006348,1.112519,0.019149)
13-07-2022_12-17-08 | Received real pos: (0.012960,1.077834,0.008615)
13-07-2022_12-17-08 | Recommend Rotation: 0.250000
13-07-2022_12-17-08 | Received virt pos: (0.005246,1.112415,0.019448)
13-07-2022_12-17-08 | Received real pos: (-0.006036,1.111350,0.022458)
13-07-2022_12-17-08 | Recommend Rotation: -0.250000
13-07-2022_12-17-09 | Received virt pos: (0.001869,1.112916,0.020469)
13-07-2022_12-17-09 | Received real pos: (-0.032669,1.118041,0.030967)
13-07-2022_12-17-09 | Recommend Rotation: -0.250000
13-07-2022_12-17-09 | Received virt pos: (-0.004673,1.115594,0.024033)
13-07-2022_12-17-09 | Received real pos: (-0.071582,1.142986,0.060438)
13-07-2022_12-17-09 | Recommend Rotation: -0.202914
13-07-2022_12-17-09 | Received virt pos: (-0.012976,1.117313,0.028653)
13-07-2022_12-17-09 | Received real pos: (-0.097910,1.134896,0.075988)
13-07-2022_12-17-09 | Recommend Rotation: -0.151643
