15-06-2022_15-39-43 | Received virt pos: (0.000000,1.117600,0.000000)
15-06-2022_15-39-43 | Received real pos: (0.000000,1.117600,0.000000)
15-06-2022_15-39-43 | Recommend Rotation: 0.000000
15-06-2022_15-39-43 | Received virt pos: (-0.065095,1.130142,0.180630)
15-06-2022_15-39-43 | Received real pos: (-0.730920,1.258427,2.028240)
15-06-2022_15-39-43 | Recommend Rotation: 0.000000
15-06-2022_15-39-43 | Received virt pos: (-0.072480,1.130253,0.186721)
15-06-2022_15-39-43 | Received real pos: (-0.148024,1.131388,0.249026)
15-06-2022_15-39-43 | Recommend Rotation: 0.000000
15-06-2022_15-39-43 | Received virt pos: (-0.072480,1.130253,0.186721)
15-06-2022_15-39-43 | Received real pos: (-0.148024,1.131388,0.249026)
15-06-2022_15-39-43 | Recommend Rotation: 0.000000
15-06-2022_15-39-43 | Received virt pos: (-0.081765,1.127813,0.182380)
15-06-2022_15-39-43 | Received real pos: (-0.176719,1.102856,0.137943)
15-06-2022_15-39-43 | Recommend Rotation: 0.000000
15-06-2022_15-39-43 | Received virt pos: (-0.083929,1.128728,0.179253)
15-06-2022_15-39-43 | Received real pos: (-0.106068,1.138088,0.147339)
15-06-2022_15-39-43 | Recommend Rotation: 0.250000
15-06-2022_15-39-43 | Received virt pos: (-0.085662,1.129968,0.174539)
15-06-2022_15-39-43 | Received real pos: (-0.103392,1.142651,0.126230)
15-06-2022_15-39-43 | Recommend Rotation: 0.250000
15-06-2022_15-39-43 | Received virt pos: (-0.086215,1.131828,0.171412)
15-06-2022_15-39-43 | Received real pos: (-0.091865,1.150852,0.139466)
15-06-2022_15-39-43 | Recommend Rotation: 0.250000
15-06-2022_15-39-43 | Received virt pos: (-0.086432,1.130641,0.171428)
15-06-2022_15-39-43 | Received real pos: (-0.088650,1.118500,0.171639)
15-06-2022_15-39-43 | Recommend Rotation: -0.250000
15-06-2022_15-39-43 | Received virt pos: (-0.086936,1.124149,0.172433)
15-06-2022_15-39-43 | Received real pos: (-0.092094,1.057746,0.182720)
15-06-2022_15-39-43 | Recommend Rotation: 0.002075
15-06-2022_15-39-44 | Received virt pos: (-0.087699,1.122910,0.182866)
15-06-2022_15-39-44 | Received real pos: (-0.095499,1.110238,0.289543)
15-06-2022_15-39-44 | Recommend Rotation: 0.245363
15-06-2022_15-39-44 | Received virt pos: (-0.089690,1.119150,0.198709)
15-06-2022_15-39-44 | Received real pos: (-0.110061,1.080691,0.360758)
15-06-2022_15-39-44 | Recommend Rotation: 0.170708
15-06-2022_15-39-44 | Received virt pos: (-0.092128,1.114075,0.221697)
15-06-2022_15-39-44 | Received real pos: (-0.117063,1.062165,0.456937)
15-06-2022_15-39-44 | Recommend Rotation: 0.144685
15-06-2022_15-39-44 | Received virt pos: (-0.091577,1.110841,0.244458)
15-06-2022_15-39-44 | Received real pos: (-0.085935,1.077763,0.477171)
15-06-2022_15-39-44 | Recommend Rotation: 0.202012
15-06-2022_15-39-44 | Received virt pos: (-0.088718,1.110746,0.281572)
15-06-2022_15-39-44 | Received real pos: (-0.059480,1.109774,0.661268)
15-06-2022_15-39-44 | Recommend Rotation: 0.166159
15-06-2022_15-39-44 | Received virt pos: (-0.082873,1.112221,0.328115)
15-06-2022_15-39-44 | Received real pos: (-0.023090,1.127308,0.804071)
15-06-2022_15-39-44 | Recommend Rotation: 0.153472
15-06-2022_15-39-44 | Received virt pos: (-0.076882,1.110588,0.369068)
15-06-2022_15-39-44 | Received real pos: (-0.015599,1.093884,0.787919)
15-06-2022_15-39-44 | Recommend Rotation: 0.164946
15-06-2022_15-39-44 | Received virt pos: (-0.065756,1.104352,0.431843)
15-06-2022_15-39-44 | Received real pos: (0.048046,1.040568,1.074076)
15-06-2022_15-39-44 | Recommend Rotation: 0.131231
15-06-2022_15-39-44 | Received virt pos: (-0.055171,1.097839,0.484801)
15-06-2022_15-39-44 | Received real pos: (0.053099,1.031221,1.026481)
15-06-2022_15-39-44 | Recommend Rotation: 0.146189
15-06-2022_15-39-44 | Received virt pos: (-0.040263,1.090175,0.562010)
15-06-2022_15-39-44 | Received real pos: (0.112216,1.011785,1.351712)
15-06-2022_15-39-44 | Recommend Rotation: 0.109560
15-06-2022_15-39-44 | Received virt pos: (-0.023351,1.084956,0.641666)
15-06-2022_15-39-44 | Received real pos: (0.149635,1.031574,1.456445)
15-06-2022_15-39-44 | Recommend Rotation: 0.109140
15-06-2022_15-39-44 | Received virt pos: (-0.010096,1.083960,0.704165)
15-06-2022_15-39-44 | Received real pos: (0.125474,1.073773,1.343450)
15-06-2022_15-39-44 | Recommend Rotation: 0.117587
15-06-2022_15-39-44 | Received virt pos: (0.008531,1.090644,0.790965)
15-06-2022_15-39-44 | Received real pos: (0.199057,1.159010,1.678806)
15-06-2022_15-39-44 | Recommend Rotation: 0.096534
15-06-2022_15-39-44 | Received virt pos: (0.020858,1.100323,0.853691)
15-06-2022_15-39-44 | Received real pos: (0.146944,1.199323,1.495244)
15-06-2022_15-39-44 | Recommend Rotation: 0.098126
15-06-2022_15-39-44 | Received virt pos: (0.035222,1.110846,0.927693)
15-06-2022_15-39-44 | Received real pos: (0.182140,1.218480,1.684492)
15-06-2022_15-39-44 | Recommend Rotation: 0.086789
15-06-2022_15-39-44 | Received virt pos: (0.046283,1.121977,0.999653)
15-06-2022_15-39-44 | Received real pos: (0.159431,1.235829,1.735765)
15-06-2022_15-39-44 | Recommend Rotation: 0.063374
15-06-2022_15-39-44 | Received virt pos: (0.054278,1.128065,1.051202)
15-06-2022_15-39-44 | Received real pos: (0.136043,1.190336,1.578496)
15-06-2022_15-39-44 | Recommend Rotation: 0.069871
15-06-2022_15-39-44 | Received virt pos: (0.062752,1.136260,1.118383)
15-06-2022_15-39-44 | Received real pos: (0.149427,1.220082,1.805555)
15-06-2022_15-39-44 | Recommend Rotation: 0.045333
15-06-2022_15-39-44 | Received virt pos: (0.070295,1.141446,1.187784)
15-06-2022_15-39-44 | Received real pos: (0.147457,1.194490,1.897571)
15-06-2022_15-39-44 | Recommend Rotation: 0.033319
15-06-2022_15-39-44 | Received virt pos: (0.075166,1.142074,1.242022)
15-06-2022_15-39-44 | Received real pos: (0.124994,1.148497,1.796758)
15-06-2022_15-39-44 | Recommend Rotation: 0.022304
15-06-2022_15-39-45 | Received virt pos: (0.079615,1.138736,1.317400)
15-06-2022_15-39-45 | Received real pos: (0.125106,1.104594,2.088374)
15-06-2022_15-39-45 | Recommend Rotation: 0.001729
15-06-2022_15-39-45 | Received virt pos: (0.082097,1.135364,1.377065)
15-06-2022_15-39-45 | Received real pos: (0.107490,1.100874,1.987448)
15-06-2022_15-39-45 | Recommend Rotation: -0.010292
15-06-2022_15-39-45 | Received virt pos: (0.082563,1.127157,1.459264)
15-06-2022_15-39-45 | Received real pos: (0.087333,1.043212,2.300076)
15-06-2022_15-39-45 | Recommend Rotation: -0.030155
15-06-2022_15-39-45 | Received virt pos: (0.078517,1.118276,1.546258)
15-06-2022_15-39-45 | Received real pos: (0.037130,1.027438,2.435994)
15-06-2022_15-39-45 | Recommend Rotation: -0.060756
15-06-2022_15-39-45 | Received virt pos: (0.071755,1.115605,1.616566)
15-06-2022_15-39-45 | Received real pos: (0.002582,1.088285,2.335684)
15-06-2022_15-39-45 | Recommend Rotation: -0.096938
15-06-2022_15-39-45 | Received virt pos: (0.061093,1.121046,1.714819)
15-06-2022_15-39-45 | Received real pos: (-0.047958,1.176698,2.719721)
15-06-2022_15-39-45 | Recommend Rotation: -0.091674
15-06-2022_15-39-45 | Received virt pos: (0.054173,1.133594,1.790602)
15-06-2022_15-39-45 | Received real pos: (-0.016608,1.261941,2.565837)
