17-05-2022_21-02-42 | Guardian: 0
17-05-2022_21-02-42 | Room size: 5
17-05-2022_21-02-42 | Use Delay: 1
17-05-2022_21-02-42 | Delay: 255.710007
17-05-2022_21-02-42 | # Players: 1
17-05-2022_21-02-42 | Border: (2.500000,0.000000,2.500000)
17-05-2022_21-02-42 | Border: (2.500000,0.000000,-2.500000)
17-05-2022_21-02-42 | Border: (-2.500000,0.000000,-2.500000)
17-05-2022_21-02-42 | Border: (-2.500000,0.000000,2.500000)
17-05-2022_21-02-42 | Offsets: (0.000000,0.000000,0.000000)
