15-06-2022_15-40-08 | Received virt pos: (0.000000,1.117600,0.000000)
15-06-2022_15-40-08 | Received real pos: (0.000000,1.117600,0.000000)
15-06-2022_15-40-08 | Recommend Rotation: 0.000000
15-06-2022_15-40-08 | Received virt pos: (-0.025549,1.134249,0.018615)
15-06-2022_15-40-08 | Received real pos: (-0.286878,1.304542,0.209015)
15-06-2022_15-40-08 | Recommend Rotation: 0.000000
15-06-2022_15-40-08 | Received virt pos: (-0.025549,1.134249,0.018615)
15-06-2022_15-40-08 | Received real pos: (-0.286878,1.304542,0.209015)
15-06-2022_15-40-08 | Recommend Rotation: 0.000000
15-06-2022_15-40-08 | Received virt pos: (-0.025549,1.134249,0.018615)
15-06-2022_15-40-08 | Received real pos: (-0.286878,1.304542,0.209015)
15-06-2022_15-40-08 | Recommend Rotation: 0.000000
15-06-2022_15-40-08 | Received virt pos: (-0.021268,1.129165,0.022967)
15-06-2022_15-40-08 | Received real pos: (0.022522,1.077165,0.067549)
15-06-2022_15-40-08 | Recommend Rotation: 0.000000
15-06-2022_15-40-08 | Received virt pos: (-0.021268,1.129165,0.022967)
15-06-2022_15-40-08 | Received real pos: (0.022522,1.077165,0.067549)
15-06-2022_15-40-08 | Recommend Rotation: 0.000000
15-06-2022_15-40-08 | Received virt pos: (-0.005539,1.123852,0.024633)
15-06-2022_15-40-08 | Received real pos: (0.155348,1.069508,0.041726)
15-06-2022_15-40-08 | Recommend Rotation: 0.000000
15-06-2022_15-40-08 | Received virt pos: (-0.000667,1.121752,0.022992)
15-06-2022_15-40-08 | Received real pos: (0.049155,1.100272,0.006230)
15-06-2022_15-40-08 | Recommend Rotation: 0.250000
15-06-2022_15-40-08 | Received virt pos: (0.003256,1.118707,0.020570)
15-06-2022_15-40-08 | Received real pos: (0.043386,1.087561,-0.004131)
15-06-2022_15-40-08 | Recommend Rotation: 0.250000
15-06-2022_15-40-08 | Received virt pos: (0.005509,1.115910,0.019490)
15-06-2022_15-40-08 | Received real pos: (0.028546,1.087302,0.008364)
15-06-2022_15-40-08 | Recommend Rotation: 0.250000
15-06-2022_15-40-08 | Received virt pos: (0.006132,1.112519,0.018496)
15-06-2022_15-40-08 | Received real pos: (0.012518,1.077834,0.008321)
15-06-2022_15-40-08 | Recommend Rotation: 0.250000
15-06-2022_15-40-08 | Received virt pos: (0.005067,1.112415,0.018785)
15-06-2022_15-40-08 | Received real pos: (-0.005830,1.111350,0.021692)
15-06-2022_15-40-08 | Recommend Rotation: -0.250000
15-06-2022_15-40-09 | Received virt pos: (0.001805,1.112916,0.019771)
15-06-2022_15-40-09 | Received real pos: (-0.031555,1.118041,0.029911)
15-06-2022_15-40-09 | Recommend Rotation: -0.250000
15-06-2022_15-40-09 | Received virt pos: (-0.004513,1.115594,0.023214)
15-06-2022_15-40-09 | Received real pos: (-0.069142,1.142986,0.058378)
15-06-2022_15-40-09 | Recommend Rotation: -0.202914
15-06-2022_15-40-09 | Received virt pos: (-0.012533,1.117313,0.027676)
15-06-2022_15-40-09 | Received real pos: (-0.094572,1.134896,0.073397)
15-06-2022_15-40-09 | Recommend Rotation: -0.151643
15-06-2022_15-40-09 | Received virt pos: (-0.027650,1.116796,0.035895)
15-06-2022_15-40-09 | Received real pos: (-0.182257,1.111508,0.119994)
15-06-2022_15-40-09 | Recommend Rotation: -0.083993
15-06-2022_15-40-09 | Received virt pos: (-0.039590,1.116685,0.043979)
15-06-2022_15-40-09 | Received real pos: (-0.161723,1.115550,0.126616)
15-06-2022_15-40-09 | Recommend Rotation: -0.069355
15-06-2022_15-40-09 | Received virt pos: (-0.052710,1.118137,0.056941)
15-06-2022_15-40-09 | Received real pos: (-0.186903,1.132988,0.189524)
15-06-2022_15-40-09 | Recommend Rotation: -0.013039
15-06-2022_15-40-09 | Received virt pos: (-0.061705,1.118117,0.071247)
15-06-2022_15-40-09 | Received real pos: (-0.153713,1.117912,0.217617)
15-06-2022_15-40-09 | Recommend Rotation: 0.053583
15-06-2022_15-40-09 | Received virt pos: (-0.066950,1.116637,0.083283)
15-06-2022_15-40-09 | Received real pos: (-0.120611,1.101499,0.206337)
15-06-2022_15-40-09 | Recommend Rotation: 0.117566
15-06-2022_15-40-09 | Received virt pos: (-0.073870,1.114082,0.099773)
15-06-2022_15-40-09 | Received real pos: (-0.144644,1.087948,0.268515)
15-06-2022_15-40-09 | Recommend Rotation: 0.096624
15-06-2022_15-40-09 | Received virt pos: (-0.079175,1.110796,0.115260)
15-06-2022_15-40-09 | Received real pos: (-0.133420,1.077185,0.273513)
15-06-2022_15-40-09 | Recommend Rotation: 0.123266
15-06-2022_15-40-09 | Received virt pos: (-0.085763,1.107121,0.138703)
15-06-2022_15-40-09 | Received real pos: (-0.153152,1.069532,0.378607)
15-06-2022_15-40-09 | Recommend Rotation: 0.109883
15-06-2022_15-40-09 | Received virt pos: (-0.090231,1.108245,0.167314)
15-06-2022_15-40-09 | Received real pos: (-0.135935,1.119742,0.459943)
15-06-2022_15-40-09 | Recommend Rotation: 0.131639
15-06-2022_15-40-09 | Received virt pos: (-0.092240,1.108938,0.192006)
15-06-2022_15-40-09 | Received real pos: (-0.112791,1.116026,0.444584)
15-06-2022_15-40-09 | Recommend Rotation: 0.166601
15-06-2022_15-40-09 | Received virt pos: (-0.093085,1.108990,0.227792)
15-06-2022_15-40-09 | Received real pos: (-0.101729,1.109522,0.593853)
15-06-2022_15-40-09 | Recommend Rotation: 0.145182
15-06-2022_15-40-09 | Received virt pos: (-0.092748,1.105713,0.270002)
15-06-2022_15-40-09 | Received real pos: (-0.089301,1.072195,0.701700)
15-06-2022_15-40-09 | Recommend Rotation: 0.133622
15-06-2022_15-40-09 | Received virt pos: (-0.090697,1.102398,0.306808)
15-06-2022_15-40-09 | Received real pos: (-0.069719,1.068491,0.683341)
15-06-2022_15-40-09 | Recommend Rotation: 0.156603
15-06-2022_15-40-09 | Received virt pos: (-0.085453,1.097037,0.361743)
15-06-2022_15-40-09 | Received real pos: (-0.031815,1.042202,0.923525)
15-06-2022_15-40-09 | Recommend Rotation: 0.129158
15-06-2022_15-40-09 | Received virt pos: (-0.080025,1.093663,0.407099)
15-06-2022_15-40-09 | Received real pos: (-0.024501,1.059153,0.871012)
15-06-2022_15-40-09 | Recommend Rotation: 0.146906
15-06-2022_15-40-09 | Received virt pos: (-0.070054,1.090830,0.472472)
15-06-2022_15-40-09 | Received real pos: (0.031920,1.061853,1.141185)
15-06-2022_15-40-09 | Recommend Rotation: 0.123934
