17-05-2022_20-49-36 | Received virt pos: (0.000000,1.117600,0.000000)
17-05-2022_20-49-36 | Received real pos: (0.000000,1.117600,0.000000)
17-05-2022_20-49-36 | Recommend Rotation: 0.000000
17-05-2022_20-49-36 | Received virt pos: (0.018700,1.133026,0.193451)
17-05-2022_20-49-36 | Received real pos: (0.209963,1.290810,2.172240)
17-05-2022_20-49-36 | Recommend Rotation: 0.000000
17-05-2022_20-49-36 | Received virt pos: (0.017202,1.132482,0.196677)
17-05-2022_20-49-36 | Received real pos: (0.001896,1.126918,0.229607)
17-05-2022_20-49-36 | Recommend Rotation: 0.000000
17-05-2022_20-49-36 | Received virt pos: (0.015518,1.132246,0.198350)
17-05-2022_20-49-36 | Received real pos: (-0.001712,1.129832,0.215532)
17-05-2022_20-49-36 | Recommend Rotation: 0.000000
17-05-2022_20-49-36 | Received virt pos: (0.015063,1.131982,0.198379)
17-05-2022_20-49-36 | Received real pos: (0.010407,1.129281,0.198586)
17-05-2022_20-49-36 | Recommend Rotation: -0.250000
17-05-2022_20-49-36 | Received virt pos: (0.014624,1.131845,0.199060)
17-05-2022_20-49-36 | Received real pos: (0.010134,1.130444,0.206001)
17-05-2022_20-49-36 | Recommend Rotation: -0.250000
17-05-2022_20-49-36 | Received virt pos: (0.014579,1.132029,0.199978)
17-05-2022_20-49-36 | Received real pos: (0.014116,1.133912,0.209509)
17-05-2022_20-49-36 | Recommend Rotation: -0.115682
17-05-2022_20-49-36 | Received virt pos: (0.014775,1.131661,0.200792)
17-05-2022_20-49-36 | Received real pos: (0.016782,1.127897,0.209006)
17-05-2022_20-49-36 | Recommend Rotation: 0.159536
17-05-2022_20-49-36 | Received virt pos: (0.015473,1.130837,0.202849)
17-05-2022_20-49-36 | Received real pos: (0.022616,1.122408,0.223894)
17-05-2022_20-49-36 | Recommend Rotation: 0.226524
17-05-2022_20-49-36 | Received virt pos: (0.016370,1.129308,0.205098)
17-05-2022_20-49-36 | Received real pos: (0.025537,1.113669,0.228068)
17-05-2022_20-49-36 | Recommend Rotation: 0.250000
17-05-2022_20-49-36 | Received virt pos: (0.017430,1.128613,0.208369)
17-05-2022_20-49-36 | Received real pos: (0.028268,1.121504,0.241876)
17-05-2022_20-49-36 | Recommend Rotation: 0.196579
17-05-2022_20-49-36 | Received virt pos: (0.020021,1.128884,0.216835)
17-05-2022_20-49-36 | Received real pos: (0.046527,1.131655,0.303459)
17-05-2022_20-49-36 | Recommend Rotation: 0.144983
17-05-2022_20-49-36 | Received virt pos: (0.023912,1.126490,0.230303)
17-05-2022_20-49-36 | Received real pos: (0.063710,1.102004,0.368017)
17-05-2022_20-49-36 | Recommend Rotation: 0.110189
17-05-2022_20-49-36 | Received virt pos: (0.027840,1.123774,0.243149)
17-05-2022_20-49-36 | Received real pos: (0.068025,1.095994,0.374632)
17-05-2022_20-49-36 | Recommend Rotation: 0.117303
