Time,VirtualPosition,RealPosition,Recommendation
"2022-05-17 21:19:22","(0.000000,1.117600,0.000000)","(0.000000,1.117600,0.000000)",0.000000
"2022-05-17 21:19:22","(-0.078380,1.118815,0.309999)","(-0.880086,1.131242,3.480800)",0.000000
"2022-05-17 21:19:22","(-0.054237,1.124212,0.341085)","(0.192709,1.179416,0.659053)",0.000000
"2022-05-17 21:19:22","(-0.054237,1.124212,0.341085)","(0.192709,1.179416,0.659053)",0.000000
"2022-05-17 21:19:23","(-0.019156,1.137039,0.378893)","(0.339659,1.268238,0.765626)",0.000000
"2022-05-17 21:19:23","(-0.005576,1.138654,0.393792)","(0.133335,1.155173,0.546233)",0.250000
"2022-05-17 21:19:23","(0.004570,1.139695,0.405851)","(0.108339,1.150343,0.529135)",0.250000
"2022-05-17 21:19:23","(0.018332,1.140802,0.421324)","(0.159104,1.152125,0.579625)",0.250000
"2022-05-17 21:19:23","(0.028293,1.140497,0.432590)","(0.130176,1.137377,0.547826)",0.250000
"2022-05-17 21:19:23","(0.991854,1.140458,0.448717)","(0.176068,1.140059,0.613652)",RESET:110.000000
"2022-05-17 21:19:23","(0.053920,1.137876,0.467567)","(0.181435,1.111467,0.660370)",0.000000
"2022-05-17 21:19:23","(0.062603,1.135398,0.483595)","(0.151405,1.110052,0.647599)",0.000000
"2022-05-17 21:19:23","(0.072953,1.132475,0.506870)","(0.178828,1.102577,0.744945)",0.000000
"2022-05-17 21:19:23","(0.081753,1.131275,0.530878)","(0.171764,1.119001,0.776348)",0.000000
"2022-05-17 21:19:27","(1.926899,1.061713,1.300464)","(20.799789,0.350204,9.172093)",0.000000
"2022-05-17 21:19:27","(1.958292,1.059236,1.290465)","(2.279392,1.033901,1.188228)",0.000000
"2022-05-17 21:19:27","(1.998916,1.064782,1.276219)","(2.414432,1.121508,1.130511)",0.000000
"2022-05-17 21:19:27","(2.040877,1.070810,1.259468)","(2.470071,1.132466,1.088178)",0.000000
"2022-05-17 21:19:27","(2.070640,1.074579,1.246816)","(2.375073,1.113130,1.117304)",0.000000
"2022-05-17 21:19:27","(2.109516,1.075350,1.231332)","(2.507148,1.083237,1.072982)",0.000000
"2022-05-17 21:19:27","(2.139090,1.074983,1.219254)","(2.441587,1.071229,1.095722)",0.000000
"2022-05-17 21:19:27","(2.179322,1.072697,1.201662)","(2.590826,1.049315,1.021789)",0.000000
"2022-05-17 21:19:27","(2.218290,1.065501,1.184238)","(2.616874,0.991897,1.006008)",0.000000
"2022-05-17 21:19:27","(2.244640,1.059186,1.171427)","(2.514157,0.994594,1.040361)",0.000000
"2022-05-17 21:19:27","(2.277997,1.056964,1.153627)","(2.619187,1.034237,0.971536)",0.000000
