15-05-2022_16-37-20 | Received virt pos: (0.000000,1.117600,0.000000)
15-05-2022_16-37-20 | Received real pos: (0.000000,1.117600,0.000000)
15-05-2022_16-37-20 | Recommend Rotation: 0.000000
15-05-2022_16-37-20 | Received virt pos: (-0.002523,1.114787,0.134764)
15-05-2022_16-37-20 | Received real pos: (0.028327,-1.086015,-1.513187)
15-05-2022_16-37-20 | Recommend Rotation: 0.000000
15-05-2022_16-37-20 | Received virt pos: (-0.002346,1.114535,0.138813)
15-05-2022_16-37-20 | Received real pos: (0.000536,-1.111957,-0.180229)
15-05-2022_16-37-20 | Recommend Rotation: 0.000000
15-05-2022_16-37-20 | Received virt pos: (-0.002447,1.114700,0.140656)
15-05-2022_16-37-20 | Received real pos: (0.003487,-1.116387,-0.159502)
15-05-2022_16-37-20 | Recommend Rotation: 0.000000
15-05-2022_16-37-20 | Received virt pos: (-0.002804,1.115618,0.143296)
15-05-2022_16-37-20 | Received real pos: (0.006446,-1.125008,-0.170305)
15-05-2022_16-37-20 | Recommend Rotation: 0.250000
15-05-2022_16-37-20 | Received virt pos: (-0.002911,1.115575,0.144129)
15-05-2022_16-37-20 | Received real pos: (0.004008,-1.115135,-0.152642)
15-05-2022_16-37-20 | Recommend Rotation: 0.250000
15-05-2022_16-37-20 | Received virt pos: (-0.002853,1.115469,0.144975)
15-05-2022_16-37-20 | Received real pos: (0.002261,-1.114385,-0.153635)
15-05-2022_16-37-20 | Recommend Rotation: 0.082966
15-05-2022_16-37-20 | Received virt pos: (-0.002785,1.115139,0.145440)
15-05-2022_16-37-20 | Received real pos: (0.002089,-1.111764,-0.150193)
15-05-2022_16-37-20 | Recommend Rotation: 0.159227
15-05-2022_16-37-20 | Received virt pos: (-0.002623,1.114514,0.145897)
15-05-2022_16-37-20 | Received real pos: (0.000967,-1.108121,-0.150575)
15-05-2022_16-37-20 | Recommend Rotation: 0.250000
15-05-2022_16-37-20 | Received virt pos: (-0.002201,1.114009,0.146852)
15-05-2022_16-37-20 | Received real pos: (-0.002114,-1.108844,-0.156614)
15-05-2022_16-37-20 | Recommend Rotation: 0.250000
15-05-2022_16-37-21 | Received virt pos: (-0.001628,1.113191,0.148139)
15-05-2022_16-37-21 | Received real pos: (-0.004238,-1.104824,-0.161301)
15-05-2022_16-37-21 | Recommend Rotation: 0.250000
15-05-2022_16-37-21 | Received virt pos: (-0.000512,1.112206,0.151768)
15-05-2022_16-37-21 | Received real pos: (-0.010898,-1.102131,-0.188894)
15-05-2022_16-37-21 | Recommend Rotation: 0.240579
15-05-2022_16-37-21 | Received virt pos: (0.002090,1.110129,0.157554)
15-05-2022_16-37-21 | Received real pos: (-0.028709,-1.088885,-0.216730)
15-05-2022_16-37-21 | Recommend Rotation: 0.250000
15-05-2022_16-37-21 | Received virt pos: (0.004423,1.110632,0.164118)
15-05-2022_16-37-21 | Received real pos: (-0.028281,-1.115776,-0.231254)
15-05-2022_16-37-21 | Recommend Rotation: 0.219859
15-05-2022_16-37-21 | Received virt pos: (0.007831,1.110576,0.175311)
15-05-2022_16-37-21 | Received real pos: (-0.042686,-1.110004,-0.289799)
15-05-2022_16-37-21 | Recommend Rotation: 0.149465
15-05-2022_16-37-21 | Received virt pos: (0.010700,1.108693,0.186108)
15-05-2022_16-37-21 | Received real pos: (-0.040044,-1.089433,-0.296547)
15-05-2022_16-37-21 | Recommend Rotation: 0.125660
15-05-2022_16-37-21 | Received virt pos: (0.014542,1.105344,0.204918)
15-05-2022_16-37-21 | Received real pos: (-0.053843,-1.071090,-0.397314)
15-05-2022_16-37-21 | Recommend Rotation: 0.067118
15-05-2022_16-37-21 | Received virt pos: (0.018140,1.096943,0.229265)
15-05-2022_16-37-21 | Received real pos: (-0.054947,-1.011014,-0.478299)
15-05-2022_16-37-21 | Recommend Rotation: 0.032756
15-05-2022_16-37-21 | Received virt pos: (0.020953,1.091255,0.251078)
15-05-2022_16-37-21 | Received real pos: (-0.049727,-1.033075,-0.474185)
15-05-2022_16-37-21 | Recommend Rotation: 0.024130
15-05-2022_16-37-21 | Received virt pos: (0.023260,1.089699,0.284946)
15-05-2022_16-37-21 | Received real pos: (-0.046849,-1.073784,-0.631361)
15-05-2022_16-37-21 | Recommend Rotation: 0.250000
15-05-2022_16-37-21 | Received virt pos: (0.023211,1.087052,0.313887)
15-05-2022_16-37-21 | Received real pos: (-0.022714,-1.059977,-0.609912)
15-05-2022_16-37-21 | Recommend Rotation: 0.250000
15-05-2022_16-37-21 | Received virt pos: (0.022961,1.080958,0.354861)
15-05-2022_16-37-21 | Received real pos: (-0.020399,-1.018626,-0.773959)
15-05-2022_16-37-21 | Recommend Rotation: 0.250000
15-05-2022_16-37-21 | Received virt pos: (0.020311,1.071846,0.402488)
15-05-2022_16-37-21 | Received real pos: (0.006794,-0.978645,-0.889639)
15-05-2022_16-37-21 | Recommend Rotation: 0.250000
15-05-2022_16-37-21 | Received virt pos: (0.016281,1.060479,0.440456)
15-05-2022_16-37-21 | Received real pos: (0.024933,-0.944213,-0.828807)
15-05-2022_16-37-21 | Recommend Rotation: 0.250000
15-05-2022_16-37-21 | Received virt pos: (0.007908,1.047908,0.492468)
15-05-2022_16-37-21 | Received real pos: (0.077743,-0.919326,-1.024462)
15-05-2022_16-37-21 | Recommend Rotation: 0.250000
15-05-2022_16-37-21 | Received virt pos: (-0.002409,1.047196,0.545174)
15-05-2022_16-37-21 | Received real pos: (0.107931,-1.039914,-1.084269)
15-05-2022_16-37-21 | Recommend Rotation: 0.250000
15-05-2022_16-37-21 | Received virt pos: (-0.010652,1.059315,0.588817)
15-05-2022_16-37-21 | Received real pos: (0.094960,-1.183272,-1.035220)
15-05-2022_16-37-21 | Recommend Rotation: 0.250000
15-05-2022_16-37-21 | Received virt pos: (-0.020407,1.070889,0.638946)
15-05-2022_16-37-21 | Received real pos: (0.120194,-1.189273,-1.151680)
15-05-2022_16-37-21 | Recommend Rotation: 0.250000
15-05-2022_16-37-21 | Received virt pos: (-0.025263,1.081815,0.671634)
15-05-2022_16-37-21 | Received real pos: (0.074930,-1.193571,-1.005988)
15-05-2022_16-37-21 | Recommend Rotation: 0.250000
15-05-2022_16-37-21 | Received virt pos: (-0.029214,1.094276,0.714231)
15-05-2022_16-37-21 | Received real pos: (0.069624,-1.221732,-1.149924)
15-05-2022_16-37-21 | Recommend Rotation: 0.250000
15-05-2022_16-37-22 | Received virt pos: (-0.030287,1.099425,0.754288)
15-05-2022_16-37-22 | Received real pos: (0.041258,-1.152091,-1.164013)
15-05-2022_16-37-22 | Recommend Rotation: 0.007946
15-05-2022_16-37-22 | Received virt pos: (-0.029696,1.105884,0.785479)
15-05-2022_16-37-22 | Received real pos: (0.023648,-1.171949,-1.104515)
15-05-2022_16-37-22 | Recommend Rotation: 0.039974
15-05-2022_16-37-22 | Received virt pos: (-0.028838,1.108477,0.829133)
15-05-2022_16-37-22 | Received real pos: (0.020067,-1.135000,-1.275638)
15-05-2022_16-37-22 | Recommend Rotation: 0.034988
15-05-2022_16-37-22 | Received virt pos: (-0.027459,1.107858,0.863211)
15-05-2022_16-37-22 | Received real pos: (0.013351,-1.101526,-1.211775)
15-05-2022_16-37-22 | Recommend Rotation: 0.051225
15-05-2022_16-37-22 | Received virt pos: (-0.024556,1.104718,0.911372)
15-05-2022_16-37-22 | Received real pos: (-0.005132,-1.072601,-1.403978)
15-05-2022_16-37-22 | Recommend Rotation: 0.056649
15-05-2022_16-37-22 | Received virt pos: (-0.020106,1.098059,0.961724)
15-05-2022_16-37-22 | Received real pos: (-0.025414,-1.029949,-1.476745)
15-05-2022_16-37-22 | Recommend Rotation: 0.071527
15-05-2022_16-37-22 | Received virt pos: (-0.015619,1.090215,1.000986)
15-05-2022_16-37-22 | Received real pos: (-0.030278,-1.009982,-1.402576)
15-05-2022_16-37-22 | Recommend Rotation: 0.092868
15-05-2022_16-37-22 | Received virt pos: (-0.008743,1.077808,1.055035)
15-05-2022_16-37-22 | Received real pos: (-0.061584,-0.950905,-1.607870)
15-05-2022_16-37-22 | Recommend Rotation: 0.089805
15-05-2022_16-37-22 | Received virt pos: (-0.002214,1.075996,1.097262)
15-05-2022_16-37-22 | Received real pos: (-0.064565,-1.057462,-1.529177)
15-05-2022_16-37-22 | Recommend Rotation: 0.112706
15-05-2022_16-37-22 | Received virt pos: (0.007389,1.082263,1.155581)
15-05-2022_16-37-22 | Received real pos: (-0.105610,-1.146364,-1.752091)
15-05-2022_16-37-22 | Recommend Rotation: 0.105722
15-05-2022_16-37-22 | Received virt pos: (0.017566,1.094980,1.212410)
15-05-2022_16-37-22 | Received real pos: (-0.121663,-1.225055,-1.793679)
15-05-2022_16-37-22 | Recommend Rotation: 0.112608
15-05-2022_16-37-22 | Received virt pos: (0.025296,1.103504,1.253250)
15-05-2022_16-37-22 | Received real pos: (-0.104365,-1.190690,-1.670978)
15-05-2022_16-37-22 | Recommend Rotation: 0.127228
15-05-2022_16-37-22 | Received virt pos: (0.033328,1.112765,1.307874)
15-05-2022_16-37-22 | Received real pos: (-0.115479,-1.207490,-1.866590)
15-05-2022_16-37-22 | Recommend Rotation: 0.087312
15-05-2022_16-37-22 | Received virt pos: (0.040457,1.115544,1.361348)
15-05-2022_16-37-22 | Received real pos: (-0.113378,-1.143969,-1.908302)
15-05-2022_16-37-22 | Recommend Rotation: 0.076388
15-05-2022_16-37-22 | Received virt pos: (0.046513,1.118242,1.400033)
15-05-2022_16-37-22 | Received real pos: (-0.108456,-1.145839,-1.795718)
15-05-2022_16-37-22 | Recommend Rotation: 0.097836
15-05-2022_16-37-22 | Received virt pos: (0.052655,1.121812,1.452491)
15-05-2022_16-37-22 | Received real pos: (-0.115475,-1.158327,-1.989053)
15-05-2022_16-37-22 | Recommend Rotation: 0.061929
15-05-2022_16-37-22 | Received virt pos: (0.057558,1.119889,1.489497)
15-05-2022_16-37-22 | Received real pos: (-0.107711,-1.100220,-1.868008)
15-05-2022_16-37-22 | Recommend Rotation: 0.077148
15-05-2022_16-37-22 | Received virt pos: (0.064076,1.116572,1.541005)
15-05-2022_16-37-22 | Received real pos: (-0.130739,-1.082644,-2.067850)
15-05-2022_16-37-22 | Recommend Rotation: 0.066784
15-05-2022_16-37-22 | Received virt pos: (0.069539,1.108071,1.594052)
15-05-2022_16-37-22 | Received real pos: (-0.125420,-1.021119,-2.136637)
15-05-2022_16-37-22 | Recommend Rotation: 0.048099
15-05-2022_16-37-22 | Received virt pos: (0.072718,1.098455,1.634859)
15-05-2022_16-37-22 | Received real pos: (-0.105230,-1.000098,-2.052249)
15-05-2022_16-37-22 | Recommend Rotation: 0.029841
15-05-2022_16-37-23 | Received virt pos: (0.074133,1.089836,1.690235)
15-05-2022_16-37-23 | Received real pos: (-0.088615,-1.001678,-2.256643)
15-05-2022_16-37-23 | Recommend Rotation: 0.250000
15-05-2022_16-37-23 | Received virt pos: (0.073423,1.089715,1.733132)
15-05-2022_16-37-23 | Received real pos: (-0.066160,-1.088477,-2.171900)
15-05-2022_16-37-23 | Recommend Rotation: 0.250000
15-05-2022_16-37-23 | Received virt pos: (0.070989,1.095091,1.789499)
15-05-2022_16-37-23 | Received real pos: (-0.046090,-1.150079,-2.366044)
15-05-2022_16-37-23 | Recommend Rotation: 0.250000
15-05-2022_16-37-23 | Received virt pos: (0.068384,1.109558,1.843506)
15-05-2022_16-37-23 | Received real pos: (-0.041743,-1.257532,-2.395911)
15-05-2022_16-37-23 | Recommend Rotation: 0.250000
15-05-2022_16-37-23 | Received virt pos: (0.066367,1.109650,1.880476)
15-05-2022_16-37-23 | Received real pos: (-0.045734,-1.110591,-2.258620)
15-05-2022_16-37-23 | Recommend Rotation: 0.250000
15-05-2022_16-37-23 | Received virt pos: (0.068047,1.117254,1.931605)
15-05-2022_16-37-23 | Received real pos: (-0.085229,-1.195031,-2.454573)
15-05-2022_16-37-23 | Recommend Rotation: 0.001161
15-05-2022_16-37-23 | Received virt pos: (0.072181,1.119325,1.981707)
15-05-2022_16-37-23 | Received real pos: (-0.114471,-1.140508,-2.494170)
15-05-2022_16-37-23 | Recommend Rotation: 0.040675
15-05-2022_16-37-23 | Received virt pos: (0.075757,1.123331,2.019935)
15-05-2022_16-37-23 | Received real pos: (-0.112329,-1.164305,-2.410945)
15-05-2022_16-37-23 | Recommend Rotation: 0.050661
15-05-2022_16-37-23 | Received virt pos: (0.083117,1.124303,2.070246)
15-05-2022_16-37-23 | Received real pos: (-0.158394,-1.134245,-2.584848)
15-05-2022_16-37-23 | Recommend Rotation: 0.090066
15-05-2022_16-37-23 | Received virt pos: (0.089649,1.122253,2.109141)
15-05-2022_16-37-23 | Received real pos: (-0.156469,-1.101284,-2.506976)
15-05-2022_16-37-23 | Recommend Rotation: 0.109905
15-05-2022_16-37-23 | Received virt pos: (0.100031,1.116781,2.161324)
15-05-2022_16-37-23 | Received real pos: (-0.206218,-1.060812,-2.695072)
15-05-2022_16-37-23 | Recommend Rotation: 0.128340
15-05-2022_16-37-23 | Received virt pos: (0.112669,1.106418,2.214847)
15-05-2022_16-37-23 | Received real pos: (-0.241931,-1.000421,-2.762302)
15-05-2022_16-37-23 | Recommend Rotation: 0.154669
15-05-2022_16-37-23 | Received virt pos: (0.123102,1.097102,2.253698)
15-05-2022_16-37-23 | Received real pos: (-0.229820,-1.001815,-2.651082)
15-05-2022_16-37-23 | Recommend Rotation: 0.185160
15-05-2022_16-37-23 | Received virt pos: (0.137505,1.088563,2.306224)
15-05-2022_16-37-23 | Received real pos: (-0.284818,-1.001222,-2.843481)
