Time,VirtualPosition,RealPosition,Recommendation
"2022-05-17 20:49:36","(0.000000,1.117600,0.000000)","(0.000000,1.117600,0.000000)",0.000000
"2022-05-17 20:49:36","(0.018700,1.133026,0.193451)","(0.209963,1.290810,2.172240)",0.000000
"2022-05-17 20:49:36","(0.017202,1.132482,0.196677)","(0.001896,1.126918,0.229607)",0.000000
"2022-05-17 20:49:36","(0.015518,1.132246,0.198350)","(-0.001712,1.129832,0.215532)",0.000000
"2022-05-17 20:49:36","(0.015063,1.131982,0.198379)","(0.010407,1.129281,0.198586)",-0.250000
"2022-05-17 20:49:36","(0.014624,1.131845,0.199060)","(0.010134,1.130444,0.206001)",-0.250000
"2022-05-17 20:49:36","(0.014579,1.132029,0.199978)","(0.014116,1.133912,0.209509)",-0.115682
"2022-05-17 20:49:36","(0.014775,1.131661,0.200792)","(0.016782,1.127897,0.209006)",0.159536
"2022-05-17 20:49:36","(0.015473,1.130837,0.202849)","(0.022616,1.122408,0.223894)",0.226524
"2022-05-17 20:49:36","(0.016370,1.129308,0.205098)","(0.025537,1.113669,0.228068)",0.250000
"2022-05-17 20:49:36","(0.017430,1.128613,0.208369)","(0.028268,1.121504,0.241876)",0.196579
"2022-05-17 20:49:36","(0.020021,1.128884,0.216835)","(0.046527,1.131655,0.303459)",0.144983
"2022-05-17 20:49:36","(0.023912,1.126490,0.230303)","(0.063710,1.102004,0.368017)",0.110189
"2022-05-17 20:49:36","(0.027840,1.123774,0.243149)","(0.068025,1.095994,0.374632)",0.117303
"2022-05-17 20:49:36","(0.034194,1.121141,0.265912)","(0.099179,1.094209,0.498642)",0.076527
"2022-05-17 20:49:36","(0.041467,1.121444,0.294742)","(0.115850,1.124543,0.589691)",0.053827
"2022-05-17 20:49:36","(0.047490,1.118032,0.318259)","(0.109106,1.083133,0.558759)",0.058677
"2022-05-17 20:49:36","(0.054214,1.114189,0.357272)","(0.122995,1.074882,0.756295)",0.010593
"2022-05-17 20:49:36","(0.057933,1.113123,0.393547)","(0.095960,1.102220,0.764553)",-0.021836
"2022-05-17 20:49:36","(0.060422,1.111642,0.446694)","(0.085890,1.096493,0.990268)",-0.038660
"2022-05-17 20:49:36","(0.059662,1.107244,0.510067)","(0.051874,1.062260,1.158381)",-0.056001
"2022-05-17 20:49:36","(0.058575,1.100828,0.561897)","(0.047472,1.035203,1.092003)",-0.063717
"2022-05-17 20:49:36","(0.054103,1.090176,0.639582)","(0.008361,0.981222,1.434105)",-0.063177
"2022-05-17 20:49:37","(0.045728,1.078574,0.722447)","(-0.039948,0.959904,1.570043)",-0.076153
"2022-05-17 20:49:37","(0.035544,1.077165,0.792777)","(-0.068617,1.062754,1.512190)",-0.099750
"2022-05-17 20:49:37","(0.016921,1.078774,0.894157)","(-0.173567,1.095231,1.931163)",-0.096062
"2022-05-17 20:49:37","(0.002374,1.093878,0.977140)","(-0.146408,1.248368,1.825846)",-0.096316
"2022-05-17 20:49:37","(-0.013496,1.105626,1.068693)","(-0.175827,1.225789,2.005089)",-0.087923
