Time,VirtualPosition,RealPosition,Recommendation
"2022-05-17 20:28:00","(0.000000,1.117600,0.000000)","(0.000000,1.117600,0.000000)",0.000000
"2022-05-17 20:28:00","(-0.010791,1.096152,0.004270)","(-0.010791,1.096152,0.004270)",0.000000
"2022-05-17 20:28:00","(-0.010867,1.096078,0.004976)","(-0.010867,1.096078,0.004976)",0.000000
"2022-05-17 20:28:00","(-0.010429,1.096011,0.005689)","(-0.010429,1.096011,0.005689)",0.000000
"2022-05-17 20:28:00","(-0.010234,1.095949,0.006158)","(-0.010234,1.095949,0.006158)",0.250000
"2022-05-17 20:28:00","(-0.010037,1.095831,0.006577)","(-0.010037,1.095831,0.006577)",0.250000
"2022-05-17 20:28:00","(-0.009726,1.095715,0.007237)","(-0.009726,1.095715,0.007237)",0.250000
"2022-05-17 20:28:00","(-0.009255,1.095842,0.007840)","(-0.009255,1.095842,0.007840)",0.250000
"2022-05-17 20:28:00","(-0.008861,1.095866,0.008426)","(-0.008861,1.095866,0.008426)",0.250000
"2022-05-17 20:28:00","(-0.008705,1.096256,0.009525)","(-0.008705,1.096256,0.009525)",0.250000
"2022-05-17 20:28:00","(-0.008948,1.096799,0.011086)","(-0.008948,1.096799,0.011086)",0.250000
"2022-05-17 20:28:00","(-0.008809,1.097011,0.013223)","(-0.008809,1.097011,0.013223)",0.250000
"2022-05-17 20:28:00","(-0.008602,1.097357,0.016675)","(-0.008602,1.097357,0.016675)",0.250000
"2022-05-17 20:28:00","(-0.008674,1.097836,0.020369)","(-0.008674,1.097836,0.020369)",0.250000
"2022-05-17 20:28:00","(-0.009426,1.098870,0.027717)","(-0.009426,1.098870,0.027717)",0.225741
"2022-05-17 20:28:00","(-0.011581,1.099962,0.038599)","(-0.011581,1.099962,0.038599)",0.095994
"2022-05-17 20:28:00","(-0.014140,1.100736,0.049666)","(-0.014140,1.100736,0.049666)",0.050164
"2022-05-17 20:28:00","(-0.018521,1.101450,0.067537)","(-0.018521,1.101450,0.067537)",0.027224
"2022-05-17 20:28:00","(-0.022442,1.101354,0.082245)","(-0.022442,1.101354,0.082245)",0.005785
"2022-05-17 20:28:00","(-0.028411,1.101488,0.103458)","(-0.028411,1.101488,0.103458)",-0.006316
"2022-05-17 20:28:01","(-0.035108,1.103144,0.128417)","(-0.035108,1.103144,0.128417)",0.004669
"2022-05-17 20:28:01","(-0.040375,1.103637,0.149015)","(-0.040375,1.103637,0.149015)",0.014192
"2022-05-17 20:28:01","(-0.046860,1.101942,0.179975)","(-0.046860,1.101942,0.179975)",0.048113
"2022-05-17 20:28:01","(-0.051386,1.097156,0.213058)","(-0.051386,1.097156,0.213058)",0.100552
"2022-05-17 20:28:01","(-0.051884,1.095235,0.239842)","(-0.051884,1.095235,0.239842)",0.194275
"2022-05-17 20:28:01","(-0.051357,1.090878,0.280021)","(-0.051357,1.090878,0.280021)",0.194317
"2022-05-17 20:28:01","(-0.048711,1.084447,0.310947)","(-0.048711,1.084447,0.310947)",0.240494
"2022-05-17 20:28:01","(-0.042178,1.077955,0.355092)","(-0.042178,1.077955,0.355092)",0.250000
"2022-05-17 20:28:01","(-0.033409,1.070431,0.401094)","(-0.033409,1.070431,0.401094)",0.250000
"2022-05-17 20:28:01","(-0.026217,1.066203,0.435290)","(-0.026217,1.066203,0.435290)",0.250000
"2022-05-17 20:28:01","(-0.016281,1.065521,0.482293)","(-0.016281,1.065521,0.482293)",0.241942
"2022-05-17 20:28:01","(-0.002025,1.082578,0.536888)","(-0.002025,1.082578,0.536888)",0.250000
"2022-05-17 20:28:01","(0.007445,1.089571,0.569924)","(0.007445,1.089571,0.569924)",0.250000
"2022-05-17 20:28:01","(0.019503,1.097641,0.611106)","(0.019503,1.097641,0.611106)",0.250000
"2022-05-17 20:28:01","(0.029413,1.099767,0.643537)","(0.029413,1.099767,0.643537)",0.250000
"2022-05-17 20:28:01","(0.041294,1.099841,0.682629)","(0.041294,1.099841,0.682629)",0.235061
"2022-05-17 20:28:02","(0.052391,1.104276,0.726934)","(0.052391,1.104276,0.726934)",0.174038
"2022-05-17 20:28:02","(0.060170,1.105425,0.760925)","(0.060170,1.105425,0.760925)",0.146757
"2022-05-17 20:28:02","(0.069254,1.103904,0.808961)","(0.069254,1.103904,0.808961)",0.102328
"2022-05-17 20:28:02","(0.075364,1.101032,0.846500)","(0.075364,1.101032,0.846500)",0.073507
"2022-05-17 20:28:02","(0.082964,1.096068,0.898125)","(0.082964,1.096068,0.898125)",0.055167
"2022-05-17 20:28:02","(0.089283,1.083682,0.948541)","(0.089283,1.083682,0.948541)",0.032100
"2022-05-17 20:28:02","(0.094461,1.078446,0.987057)","(0.094461,1.078446,0.987057)",0.039634
"2022-05-17 20:28:02","(0.101533,1.074733,1.042972)","(0.101533,1.074733,1.042972)",0.030347
"2022-05-17 20:28:02","(0.109492,1.081962,1.098495)","(0.109492,1.081962,1.098495)",0.044823
"2022-05-17 20:28:02","(0.116703,1.093449,1.143796)","(0.116703,1.093449,1.143796)",0.058164
"2022-05-17 20:28:02","(0.124488,1.099667,1.197848)","(0.124488,1.099667,1.197848)",0.041692
"2022-05-17 20:28:02","(0.131846,1.102069,1.239223)","(0.131846,1.102069,1.239223)",0.072420
"2022-05-17 20:28:02","(0.141157,1.106664,1.294449)","(0.141157,1.106664,1.294449)",0.061102
"2022-05-17 20:28:02","(0.151395,1.107955,1.349987)","(0.151395,1.107955,1.349987)",0.073623
"2022-05-17 20:28:02","(0.159899,1.107897,1.389685)","(0.159899,1.107897,1.389685)",0.099736
"2022-05-17 20:28:03","(0.186642,1.097663,1.497603)","(0.186642,1.097663,1.497603)",0.123027
"2022-05-17 20:28:03","(0.196918,1.090340,1.538301)","(0.196918,1.090340,1.538301)",0.124461
"2022-05-17 20:28:03","(0.211261,1.081518,1.592234)","(0.211261,1.081518,1.592234)",0.132944
"2022-05-17 20:28:03","(0.222431,1.079824,1.633221)","(0.222431,1.079824,1.633221)",0.136048
"2022-05-17 20:28:03","(0.238382,1.083276,1.688880)","(0.238382,1.083276,1.688880)",0.144747
"2022-05-17 20:28:03","(0.254930,1.098758,1.740870)","(0.254930,1.098758,1.740870)",0.169187
"2022-05-17 20:28:03","(0.265409,1.107059,1.776012)","(0.265409,1.107059,1.776012)",0.148237
"2022-05-17 20:28:03","(0.277752,1.114196,1.823545)","(0.277752,1.114196,1.823545)",0.110178
"2022-05-17 20:28:03","(0.286361,1.119285,1.868938)","(0.286361,1.119285,1.868938)",0.043051
"2022-05-17 20:28:03","(0.291247,1.124809,1.905101)","(0.291247,1.124809,1.905101)",-0.009463
"2022-05-17 20:28:03","(0.296305,1.128278,1.953831)","(0.296305,1.128278,1.953831)",-0.038810
"2022-05-17 20:28:03","(0.298984,1.128027,1.989676)","(0.298984,1.128027,1.989676)",-0.066032
"2022-05-17 20:28:03","(0.302033,1.125197,2.039615)","(0.302033,1.125197,2.039615)",-0.077216
"2022-05-17 20:28:03","(0.303282,1.117514,2.089927)","(0.303282,1.117514,2.089927)",-0.110180
"2022-05-17 20:28:03","(0.302733,1.109791,2.128158)","(0.302733,1.109791,2.128158)",-0.146362
"2022-05-17 20:28:03","(0.300805,1.104845,2.180689)","(0.300805,1.104845,2.180689)",-0.164267
"2022-05-17 20:28:03","(0.298997,1.103785,2.221088)","(0.298997,1.103785,2.221088)",-0.168900
"2022-05-17 20:28:03","(0.296566,1.108248,2.273845)","(0.296566,1.108248,2.273845)",-0.165949
"2022-05-17 20:28:03","(0.294380,1.119984,2.326379)","(0.294380,1.119984,2.326379)",-0.157552
"2022-05-17 20:28:03","(0.293850,1.119672,2.363698)","(0.293850,1.119672,2.363698)",-0.127836
"2022-05-17 20:28:03","(0.294687,1.122784,2.413918)","(0.294687,1.122784,2.413918)",-0.094515
"2022-05-17 20:28:03","(0.298433,1.126322,2.465490)","(0.298433,1.126322,2.465490)",-0.037309
"2022-05-17 20:28:03","(0.301945,1.128015,2.503210)","(0.301945,1.128015,2.503210)",-0.016266
"2022-05-17 20:28:03","(0.307333,1.127574,2.552039)","(0.307333,1.127574,2.552039)",0.001380
"2022-05-17 20:28:03","(0.311578,1.124724,2.588662)","(0.311578,1.124724,2.588662)",0.007257
"2022-05-17 20:28:03","(0.318638,1.118377,2.637932)","(0.318638,1.118377,2.637932)",0.034291
"2022-05-17 20:28:03","(0.325904,1.108341,2.686854)","(0.325904,1.108341,2.686854)",0.039444
"2022-05-17 20:28:03","(0.331545,1.101213,2.723249)","(0.331545,1.101213,2.723249)",0.045748
"2022-05-17 20:28:04","(0.339714,1.097497,2.772470)","(0.339714,1.097497,2.772470)",0.056236
"2022-05-17 20:28:04","(0.347912,1.095445,2.820822)","(0.347912,1.095445,2.820822)",0.059501
"2022-05-17 20:28:04","(0.354199,1.106206,2.857367)","(0.354199,1.106206,2.857367)",0.061705
"2022-05-17 20:28:04","(0.362480,1.113479,2.907862)","(0.362480,1.113479,2.907862)",0.053736
"2022-05-17 20:28:04","(0.366840,1.115101,2.943075)","(0.366840,1.115101,2.943075)",0.014738
"2022-05-17 20:28:04","(0.372258,1.116740,2.991057)","(0.372258,1.116740,2.991057)",0.004649
"2022-05-17 20:28:04","(0.377084,1.116792,3.036122)","(0.377084,1.116792,3.036122)",-0.000404
"2022-05-17 20:28:04","(0.381523,1.120935,3.073804)","(0.381523,1.120935,3.073804)",0.010610
