15-05-2022_16-43-22 | Recommend Rotation: 0.166438
15-05-2022_16-43-22 | Received virt pos: (0.048081,1.115162,0.692594)
15-05-2022_16-43-22 | Received real pos: (-0.048081,-1.115162,-0.692594)
15-05-2022_16-43-22 | Recommend Rotation: 0.123079
15-05-2022_16-43-22 | Received virt pos: (0.055418,1.117802,0.729279)
15-05-2022_16-43-22 | Received real pos: (-0.055418,-1.117802,-0.729279)
15-05-2022_16-43-22 | Recommend Rotation: 0.122137
15-05-2022_16-43-22 | Received virt pos: (0.064473,1.120530,0.779133)
15-05-2022_16-43-22 | Received real pos: (-0.064473,-1.120530,-0.779133)
15-05-2022_16-43-22 | Recommend Rotation: 0.097863
15-05-2022_16-43-22 | Received virt pos: (0.070670,1.121777,0.817688)
15-05-2022_16-43-22 | Received real pos: (-0.070670,-1.121777,-0.817688)
15-05-2022_16-43-22 | Recommend Rotation: 0.074015
15-05-2022_16-43-22 | Received virt pos: (0.078654,1.118520,0.870009)
15-05-2022_16-43-22 | Received real pos: (-0.078654,-1.118520,-0.870009)
15-05-2022_16-43-22 | Recommend Rotation: 0.062275
15-05-2022_16-43-22 | Received virt pos: (0.084763,1.112574,0.925154)
15-05-2022_16-43-22 | Received real pos: (-0.084763,-1.112574,-0.925154)
15-05-2022_16-43-22 | Recommend Rotation: 0.020123
15-05-2022_16-43-22 | Received virt pos: (0.088886,1.104232,0.968215)
15-05-2022_16-43-22 | Received real pos: (-0.088886,-1.104232,-0.968215)
15-05-2022_16-43-22 | Recommend Rotation: 0.005189
15-05-2022_16-43-23 | Received virt pos: (0.094444,1.092766,1.026056)
15-05-2022_16-43-23 | Received real pos: (-0.094444,-1.092766,-1.026056)
15-05-2022_16-43-23 | Recommend Rotation: 0.005464
15-05-2022_16-43-23 | Received virt pos: (0.097039,1.088970,1.072199)
15-05-2022_16-43-23 | Received real pos: (-0.097039,-1.088970,-1.072199)
15-05-2022_16-43-23 | Recommend Rotation: 0.250000
15-05-2022_16-43-23 | Received virt pos: (0.099982,1.087933,1.135419)
15-05-2022_16-43-23 | Received real pos: (-0.099982,-1.087933,-1.135419)
15-05-2022_16-43-23 | Recommend Rotation: 0.250000
15-05-2022_16-43-23 | Received virt pos: (0.102120,1.100540,1.198686)
15-05-2022_16-43-23 | Received real pos: (-0.102120,-1.100540,-1.198686)
15-05-2022_16-43-23 | Recommend Rotation: 0.250000
15-05-2022_16-43-23 | Received virt pos: (0.103897,1.110609,1.243021)
15-05-2022_16-43-23 | Received real pos: (-0.103897,-1.110609,-1.243021)
15-05-2022_16-43-23 | Recommend Rotation: 0.250000
15-05-2022_16-43-23 | Received virt pos: (0.107647,1.115755,1.299425)
15-05-2022_16-43-23 | Received real pos: (-0.107647,-1.115755,-1.299425)
15-05-2022_16-43-23 | Recommend Rotation: 0.250000
15-05-2022_16-43-23 | Received virt pos: (0.114147,1.120237,1.355089)
15-05-2022_16-43-23 | Received real pos: (-0.114147,-1.120237,-1.355089)
15-05-2022_16-43-23 | Recommend Rotation: 0.034501
15-05-2022_16-43-23 | Received virt pos: (0.119435,1.125239,1.395916)
15-05-2022_16-43-23 | Received real pos: (-0.119435,-1.125239,-1.395916)
15-05-2022_16-43-23 | Recommend Rotation: 0.045922
15-05-2022_16-43-23 | Received virt pos: (0.126934,1.127321,1.448673)
15-05-2022_16-43-23 | Received real pos: (-0.126934,-1.127321,-1.448673)
15-05-2022_16-43-23 | Recommend Rotation: 0.056507
15-05-2022_16-43-23 | Received virt pos: (0.132391,1.127530,1.488584)
15-05-2022_16-43-23 | Received real pos: (-0.132391,-1.127530,-1.488584)
15-05-2022_16-43-23 | Recommend Rotation: 0.050087
15-05-2022_16-43-23 | Received virt pos: (0.140464,1.122411,1.542246)
15-05-2022_16-43-23 | Received real pos: (-0.140464,-1.122411,-1.542246)
15-05-2022_16-43-23 | Recommend Rotation: 0.061703
15-05-2022_16-43-23 | Received virt pos: (0.150296,1.115629,1.598280)
15-05-2022_16-43-23 | Received real pos: (-0.150296,-1.115629,-1.598280)
15-05-2022_16-43-23 | Recommend Rotation: 0.083483
15-05-2022_16-43-23 | Received virt pos: (0.158827,1.108099,1.639272)
15-05-2022_16-43-23 | Received real pos: (-0.158827,-1.108099,-1.639272)
15-05-2022_16-43-23 | Recommend Rotation: 0.112454
15-05-2022_16-43-23 | Received virt pos: (0.170313,1.099206,1.696194)
15-05-2022_16-43-23 | Received real pos: (-0.170313,-1.099206,-1.696194)
15-05-2022_16-43-23 | Recommend Rotation: 0.103312
15-05-2022_16-43-23 | Received virt pos: (0.184162,1.094781,1.753564)
15-05-2022_16-43-23 | Received real pos: (-0.184162,-1.094781,-1.753564)
15-05-2022_16-43-23 | Recommend Rotation: 0.137005
15-05-2022_16-43-23 | Received virt pos: (0.195435,1.104919,1.798462)
15-05-2022_16-43-23 | Received real pos: (-0.195435,-1.104919,-1.798462)
15-05-2022_16-43-23 | Recommend Rotation: 0.142913
15-05-2022_16-43-23 | Received virt pos: (0.209559,1.110768,1.856313)
15-05-2022_16-43-23 | Received real pos: (-0.209559,-1.110768,-1.856313)
15-05-2022_16-43-23 | Recommend Rotation: 0.132756
