15-05-2022_09-33-22 | Received virt pos: (0.000000,1.117600,0.000000)
15-05-2022_09-33-22 | Received real pos: (-3.750000,1.117600,3.750000)
15-05-2022_09-33-22 | Recommend Rotation: 0.000000
15-05-2022_09-33-22 | Received virt pos: (0.017933,1.094714,-0.017289)
15-05-2022_09-33-22 | Received real pos: (-3.767933,-1.094714,3.767289)
15-05-2022_09-33-22 | Recommend Rotation: 0.000000
15-05-2022_09-33-22 | Received virt pos: (0.018469,1.094654,-0.017277)
15-05-2022_09-33-22 | Received real pos: (-3.768469,-1.094654,3.767277)
15-05-2022_09-33-22 | Recommend Rotation: 0.000000
15-05-2022_09-33-22 | Received virt pos: (0.018495,1.094556,-0.018080)
15-05-2022_09-33-22 | Received real pos: (-3.768495,-1.094556,3.768080)
15-05-2022_09-33-22 | Recommend Rotation: 0.000000
15-05-2022_09-33-22 | Received virt pos: (0.018224,1.094516,-0.018515)
15-05-2022_09-33-22 | Received real pos: (-3.768224,-1.094516,3.768515)
15-05-2022_09-33-22 | Recommend Rotation: 0.250000
15-05-2022_09-33-22 | Received virt pos: (0.018023,1.094474,-0.019010)
15-05-2022_09-33-22 | Received real pos: (-3.768023,-1.094474,3.769010)
15-05-2022_09-33-22 | Recommend Rotation: 0.250000
15-05-2022_09-33-22 | Received virt pos: (0.017725,1.094340,-0.019955)
15-05-2022_09-33-22 | Received real pos: (-3.767725,-1.094340,3.769955)
15-05-2022_09-33-22 | Recommend Rotation: 0.250000
15-05-2022_09-33-23 | Received virt pos: (0.017470,1.094163,-0.020706)
15-05-2022_09-33-23 | Received real pos: (-3.767470,-1.094163,3.770706)
15-05-2022_09-33-23 | Recommend Rotation: 0.250000
15-05-2022_09-33-23 | Received virt pos: (0.017253,1.094041,-0.021270)
15-05-2022_09-33-23 | Received real pos: (-3.767253,-1.094041,3.771270)
15-05-2022_09-33-23 | Recommend Rotation: 0.250000
15-05-2022_09-33-23 | Received virt pos: (0.017046,1.093766,-0.022077)
15-05-2022_09-33-23 | Received real pos: (-3.767046,-1.093766,3.772077)
15-05-2022_09-33-23 | Recommend Rotation: 0.250000
15-05-2022_09-33-23 | Received virt pos: (0.016959,1.093746,-0.022504)
15-05-2022_09-33-23 | Received real pos: (-3.766959,-1.093746,3.772504)
15-05-2022_09-33-23 | Recommend Rotation: 0.250000
15-05-2022_09-33-23 | Received virt pos: (0.016791,1.093686,-0.022938)
15-05-2022_09-33-23 | Received real pos: (-3.766791,-1.093686,3.772938)
15-05-2022_09-33-23 | Recommend Rotation: 0.250000
15-05-2022_09-33-23 | Received virt pos: (0.016712,1.093908,-0.023317)
15-05-2022_09-33-23 | Received real pos: (-3.766712,-1.093908,3.773317)
15-05-2022_09-33-23 | Recommend Rotation: 0.250000
15-05-2022_09-33-23 | Received virt pos: (0.016572,1.093920,-0.023558)
15-05-2022_09-33-23 | Received real pos: (-3.766572,-1.093920,3.773558)
15-05-2022_09-33-23 | Recommend Rotation: 0.250000
15-05-2022_09-33-23 | Received virt pos: (0.016109,1.093729,-0.023562)
15-05-2022_09-33-23 | Received real pos: (-3.766109,-1.093729,3.773562)
15-05-2022_09-33-23 | Recommend Rotation: 0.250000
15-05-2022_09-33-23 | Received virt pos: (0.014919,1.094858,-0.022813)
15-05-2022_09-33-23 | Received real pos: (-3.764919,-1.094858,3.772813)
15-05-2022_09-33-23 | Recommend Rotation: 0.250000
15-05-2022_09-33-23 | Received virt pos: (0.013478,1.095175,-0.022530)
