20-05-2022_12-22-37 | Received real pos: (-0.053008,1.236732,2.061589)
20-05-2022_12-22-37 | Recommend Rotation: -0.001647
20-05-2022_12-22-37 | Received virt pos: (-0.029018,1.149346,1.340136)
20-05-2022_12-22-37 | Received real pos: (0.002376,1.194903,2.149110)
20-05-2022_12-22-37 | Recommend Rotation: 0.037744
20-05-2022_12-22-37 | Received virt pos: (-0.026025,1.150034,1.400842)
20-05-2022_12-22-37 | Received real pos: (0.004589,1.157071,2.021713)
20-05-2022_12-22-37 | Recommend Rotation: 0.047113
20-05-2022_12-22-37 | Received virt pos: (-0.022102,1.145764,1.484029)
20-05-2022_12-22-37 | Received real pos: (0.018019,1.102089,2.334894)
20-05-2022_12-22-37 | Recommend Rotation: 0.039937
20-05-2022_12-22-37 | Received virt pos: (-0.018184,1.141163,1.548281)
20-05-2022_12-22-37 | Received real pos: (0.021899,1.094102,2.205612)
20-05-2022_12-22-37 | Recommend Rotation: 0.051598
20-05-2022_12-22-37 | Received virt pos: (-0.011540,1.132125,1.632238)
20-05-2022_12-22-37 | Received real pos: (0.056411,1.039681,2.490854)
20-05-2022_12-22-37 | Recommend Rotation: 0.058210
20-05-2022_12-22-37 | Received virt pos: (-0.002976,1.117799,1.713859)
20-05-2022_12-22-37 | Received real pos: (0.084622,0.971267,2.548688)
20-05-2022_12-22-37 | Recommend Rotation: 0.074388
20-05-2022_12-22-37 | Received virt pos: (0.005395,1.111305,1.777428)
20-05-2022_12-22-37 | Received real pos: (0.091017,1.044881,2.427597)
20-05-2022_12-22-37 | Recommend Rotation: 0.096402
20-05-2022_12-22-37 | Received virt pos: (0.018808,1.109812,1.869896)
20-05-2022_12-22-37 | Received real pos: (0.155995,1.094541,2.815826)
20-05-2022_12-22-37 | Recommend Rotation: 0.094177
20-05-2022_12-22-37 | Received virt pos: (0.035312,1.126810,1.969190)
20-05-2022_12-22-37 | Received real pos: (0.204122,1.300672,2.984743)
20-05-2022_12-22-37 | Recommend Rotation: 0.102355
20-05-2022_12-22-37 | Received virt pos: (0.045407,1.127094,2.031591)
20-05-2022_12-22-37 | Received real pos: (0.148677,1.130000,2.669848)
20-05-2022_12-22-37 | Recommend Rotation: 0.109608
