17-05-2022_20-23-51 | Received real pos: (-0.019859,1.112416,0.582465)
17-05-2022_20-23-51 | Recommend Rotation: -0.101233
17-05-2022_20-23-51 | Received virt pos: (-0.022111,1.117586,0.624980)
17-05-2022_20-23-51 | Received real pos: (-0.022111,1.117586,0.624980)
17-05-2022_20-23-51 | Recommend Rotation: -0.017756
17-05-2022_20-23-51 | Received virt pos: (-0.021576,1.123830,0.670163)
17-05-2022_20-23-51 | Received real pos: (-0.021576,1.123830,0.670163)
17-05-2022_20-23-51 | Recommend Rotation: 0.043797
17-05-2022_20-23-51 | Received virt pos: (-0.020600,1.127320,0.703078)
17-05-2022_20-23-51 | Received real pos: (-0.020600,1.127320,0.703078)
17-05-2022_20-23-51 | Recommend Rotation: 0.058734
17-05-2022_20-23-51 | Received virt pos: (-0.018012,1.128165,0.749240)
17-05-2022_20-23-51 | Received real pos: (-0.018012,1.128165,0.749240)
17-05-2022_20-23-51 | Recommend Rotation: 0.079839
17-05-2022_20-23-51 | Received virt pos: (-0.015377,1.125633,0.784473)
17-05-2022_20-23-51 | Received real pos: (-0.015377,1.125633,0.784473)
17-05-2022_20-23-51 | Recommend Rotation: 0.094054
17-05-2022_20-23-51 | Received virt pos: (-0.010688,1.120380,0.832473)
17-05-2022_20-23-51 | Received real pos: (-0.010688,1.120380,0.832473)
17-05-2022_20-23-51 | Recommend Rotation: 0.110091
17-05-2022_20-23-51 | Received virt pos: (-0.004315,1.111914,0.881262)
17-05-2022_20-23-51 | Received real pos: (-0.004315,1.111914,0.881262)
17-05-2022_20-23-51 | Recommend Rotation: 0.134721
17-05-2022_20-23-51 | Received virt pos: (0.001713,1.103078,0.916884)
17-05-2022_20-23-51 | Received real pos: (0.001713,1.103078,0.916884)
17-05-2022_20-23-51 | Recommend Rotation: 0.165784
17-05-2022_20-23-52 | Received virt pos: (0.012467,1.096613,0.963070)
17-05-2022_20-23-52 | Received real pos: (0.012467,1.096613,0.963070)
17-05-2022_20-23-52 | Recommend Rotation: 0.216007
17-05-2022_20-23-52 | Received virt pos: (0.025995,1.100121,1.011231)
17-05-2022_20-23-52 | Received real pos: (0.025995,1.100121,1.011231)
17-05-2022_20-23-52 | Recommend Rotation: 0.248538
17-05-2022_20-23-52 | Received virt pos: (0.037080,1.106065,1.050128)
17-05-2022_20-23-52 | Received real pos: (0.037080,1.106065,1.050128)
17-05-2022_20-23-52 | Recommend Rotation: 0.242910
17-05-2022_20-23-52 | Received virt pos: (0.051158,1.110534,1.097740)
17-05-2022_20-23-52 | Received real pos: (0.051158,1.110534,1.097740)
17-05-2022_20-23-52 | Recommend Rotation: 0.241753
17-05-2022_20-23-52 | Received virt pos: (0.061057,1.114612,1.133757)
17-05-2022_20-23-52 | Received real pos: (0.061057,1.114612,1.133757)
17-05-2022_20-23-52 | Recommend Rotation: 0.215465
