17-05-2022_20-33-40 | Received virt pos: (0.000000,1.117600,0.000000)
17-05-2022_20-33-40 | Received real pos: (0.000000,1.117600,0.000000)
17-05-2022_20-33-40 | Recommend Rotation: 0.000000
17-05-2022_20-33-40 | Received virt pos: (-0.026839,1.109330,0.003924)
17-05-2022_20-33-40 | Received real pos: (-0.301354,1.024742,0.044064)
17-05-2022_20-33-40 | Recommend Rotation: 0.000000
17-05-2022_20-33-40 | Received virt pos: (-0.024536,1.109853,0.003512)
17-05-2022_20-33-40 | Received real pos: (-0.000989,1.115202,-0.000702)
17-05-2022_20-33-40 | Recommend Rotation: 0.000000
17-05-2022_20-33-40 | Received virt pos: (-0.022422,1.110606,0.003489)
17-05-2022_20-33-40 | Received real pos: (-0.000799,1.118307,0.003245)
17-05-2022_20-33-40 | Recommend Rotation: 0.000000
17-05-2022_20-33-40 | Received virt pos: (-0.021466,1.110726,0.003839)
17-05-2022_20-33-40 | Received real pos: (-0.011687,1.111954,0.007429)
17-05-2022_20-33-40 | Recommend Rotation: 0.250000
17-05-2022_20-33-40 | Received virt pos: (-0.020779,1.110669,0.004394)
17-05-2022_20-33-40 | Received real pos: (-0.013748,1.110086,0.010061)
17-05-2022_20-33-40 | Recommend Rotation: 0.250000
17-05-2022_20-33-40 | Received virt pos: (-0.019591,1.110624,0.004826)
17-05-2022_20-33-40 | Received real pos: (-0.007439,1.110163,0.009244)
17-05-2022_20-33-40 | Recommend Rotation: 0.250000
17-05-2022_20-33-40 | Received virt pos: (-0.018579,1.110500,0.005257)
17-05-2022_20-33-40 | Received real pos: (-0.008227,1.109232,0.009666)
17-05-2022_20-33-40 | Recommend Rotation: 0.250000
17-05-2022_20-33-40 | Received virt pos: (-0.017070,1.110489,0.006057)
17-05-2022_20-33-40 | Received real pos: (-0.001636,1.110377,0.014241)
17-05-2022_20-33-40 | Recommend Rotation: 0.250000
17-05-2022_20-33-40 | Received virt pos: (-0.014752,1.110665,0.007892)
17-05-2022_20-33-40 | Received real pos: (0.008954,1.112465,0.026659)
17-05-2022_20-33-40 | Recommend Rotation: 0.250000
17-05-2022_20-33-40 | Received virt pos: (-0.012604,1.110604,0.010282)
17-05-2022_20-33-40 | Received real pos: (0.009371,1.109981,0.034726)
17-05-2022_20-33-40 | Recommend Rotation: 0.250000
17-05-2022_20-33-40 | Received virt pos: (-0.008013,1.110145,0.015528)
17-05-2022_20-33-40 | Received real pos: (0.038946,1.105449,0.069188)
17-05-2022_20-33-40 | Recommend Rotation: 0.206222
17-05-2022_20-33-40 | Received virt pos: (-0.001197,1.108771,0.021987)
17-05-2022_20-33-40 | Received real pos: (0.068522,1.094717,0.088055)
17-05-2022_20-33-40 | Recommend Rotation: 0.151011
17-05-2022_20-33-40 | Received virt pos: (0.004469,1.107994,0.028525)
17-05-2022_20-33-40 | Received real pos: (0.062421,1.100046,0.095403)
17-05-2022_20-33-40 | Recommend Rotation: 0.134669
17-05-2022_20-33-40 | Received virt pos: (0.012388,1.106080,0.040979)
17-05-2022_20-33-40 | Received real pos: (0.093385,1.086504,0.168364)
17-05-2022_20-33-40 | Recommend Rotation: 0.060072
17-05-2022_20-33-40 | Received virt pos: (0.017821,1.102929,0.054491)
17-05-2022_20-33-40 | Received real pos: (0.073390,1.070699,0.192694)
17-05-2022_20-33-40 | Recommend Rotation: 0.018563
17-05-2022_20-33-41 | Received virt pos: (0.024351,1.099293,0.074737)
17-05-2022_20-33-41 | Received real pos: (0.091143,1.062103,0.281816)
