13-07-2022_12-30-08 | Received virt pos: (0.000000,1.117600,0.000000)
13-07-2022_12-30-08 | Received real pos: (0.000000,1.117600,0.000000)
13-07-2022_12-30-08 | Recommend Rotation: 0.000000
13-07-2022_12-30-08 | Received virt pos: (-0.025038,1.134249,0.018238)
13-07-2022_12-30-08 | Received real pos: (-0.281140,1.304542,0.204830)
13-07-2022_12-30-08 | Recommend Rotation: 0.000000
13-07-2022_12-30-08 | Received virt pos: (-0.025038,1.134249,0.018238)
13-07-2022_12-30-08 | Received real pos: (-0.281140,1.304542,0.204830)
13-07-2022_12-30-08 | Recommend Rotation: 0.000000
13-07-2022_12-30-08 | Received virt pos: (-0.025038,1.134249,0.018238)
13-07-2022_12-30-08 | Received real pos: (-0.281140,1.304542,0.204830)
13-07-2022_12-30-08 | Recommend Rotation: 0.000000
13-07-2022_12-30-08 | Received virt pos: (-0.020843,1.129165,0.022501)
13-07-2022_12-30-08 | Received real pos: (0.022072,1.077165,0.066189)
13-07-2022_12-30-08 | Recommend Rotation: 0.000000
13-07-2022_12-30-08 | Received virt pos: (-0.020843,1.129165,0.022501)
13-07-2022_12-30-08 | Received real pos: (0.022072,1.077165,0.066189)
13-07-2022_12-30-08 | Recommend Rotation: 0.000000
13-07-2022_12-30-08 | Received virt pos: (-0.005428,1.123852,0.024137)
13-07-2022_12-30-08 | Received real pos: (0.152241,1.069508,0.040886)
13-07-2022_12-30-08 | Recommend Rotation: 0.000000
13-07-2022_12-30-08 | Received virt pos: (-0.000654,1.121752,0.022530)
13-07-2022_12-30-08 | Received real pos: (0.048172,1.100272,0.006105)
13-07-2022_12-30-08 | Recommend Rotation: 0.250000
13-07-2022_12-30-08 | Received virt pos: (0.003191,1.118707,0.020159)
13-07-2022_12-30-08 | Received real pos: (0.042518,1.087561,-0.004047)
13-07-2022_12-30-08 | Recommend Rotation: 0.250000
13-07-2022_12-30-08 | Received virt pos: (0.005399,1.115910,0.019100)
13-07-2022_12-30-08 | Received real pos: (0.027975,1.087302,0.008193)
13-07-2022_12-30-08 | Recommend Rotation: 0.250000
13-07-2022_12-30-08 | Received virt pos: (0.006009,1.112519,0.018120)
13-07-2022_12-30-08 | Received real pos: (0.012268,1.077834,0.008154)
13-07-2022_12-30-08 | Recommend Rotation: 0.250000
13-07-2022_12-30-08 | Received virt pos: (0.004966,1.112415,0.018404)
13-07-2022_12-30-08 | Received real pos: (-0.005713,1.111350,0.021256)
13-07-2022_12-30-08 | Recommend Rotation: -0.250000
13-07-2022_12-30-09 | Received virt pos: (0.001769,1.112916,0.019375)
13-07-2022_12-30-09 | Received real pos: (-0.030924,1.118041,0.029312)
13-07-2022_12-30-09 | Recommend Rotation: -0.250000
13-07-2022_12-30-09 | Received virt pos: (-0.004423,1.115594,0.022746)
13-07-2022_12-30-09 | Received real pos: (-0.067759,1.142986,0.057203)
13-07-2022_12-30-09 | Recommend Rotation: -0.202914
13-07-2022_12-30-09 | Received virt pos: (-0.012282,1.117313,0.027117)
13-07-2022_12-30-09 | Received real pos: (-0.092681,1.134896,0.071922)
13-07-2022_12-30-09 | Recommend Rotation: -0.151643
13-07-2022_12-30-09 | Received virt pos: (-0.027097,1.116796,0.035172)
13-07-2022_12-30-09 | Received real pos: (-0.178612,1.111508,0.117590)
13-07-2022_12-30-09 | Recommend Rotation: -0.083993
13-07-2022_12-30-09 | Received virt pos: (-0.038798,1.116685,0.043091)
13-07-2022_12-30-09 | Received real pos: (-0.158489,1.115550,0.124078)
13-07-2022_12-30-09 | Recommend Rotation: -0.069355
13-07-2022_12-30-09 | Received virt pos: (-0.051656,1.118137,0.055801)
13-07-2022_12-30-09 | Received real pos: (-0.183165,1.132988,0.185730)
13-07-2022_12-30-09 | Recommend Rotation: -0.013039
13-07-2022_12-30-09 | Received virt pos: (-0.060471,1.118117,0.069815)
13-07-2022_12-30-09 | Received real pos: (-0.150639,1.117912,0.213258)
13-07-2022_12-30-09 | Recommend Rotation: 0.053583
13-07-2022_12-30-09 | Received virt pos: (-0.065611,1.116637,0.081614)
13-07-2022_12-30-09 | Received real pos: (-0.118199,1.101499,0.202203)
13-07-2022_12-30-09 | Recommend Rotation: 0.117566
13-07-2022_12-30-09 | Received virt pos: (-0.072393,1.114082,0.097775)
13-07-2022_12-30-09 | Received real pos: (-0.141751,1.087948,0.263140)
13-07-2022_12-30-09 | Recommend Rotation: 0.096624
13-07-2022_12-30-09 | Received virt pos: (-0.077591,1.110796,0.112955)
13-07-2022_12-30-09 | Received real pos: (-0.130752,1.077185,0.268040)
13-07-2022_12-30-09 | Recommend Rotation: 0.123266
13-07-2022_12-30-09 | Received virt pos: (-0.084048,1.107121,0.135926)
13-07-2022_12-30-09 | Received real pos: (-0.150089,1.069532,0.371028)
13-07-2022_12-30-09 | Recommend Rotation: 0.109883
13-07-2022_12-30-09 | Received virt pos: (-0.088426,1.108245,0.163964)
13-07-2022_12-30-09 | Received real pos: (-0.133216,1.119742,0.450741)
13-07-2022_12-30-09 | Recommend Rotation: 0.131639
13-07-2022_12-30-09 | Received virt pos: (-0.090395,1.108938,0.188160)
13-07-2022_12-30-09 | Received real pos: (-0.110535,1.116026,0.435688)
13-07-2022_12-30-09 | Recommend Rotation: 0.166601
13-07-2022_12-30-09 | Received virt pos: (-0.091223,1.108990,0.223234)
13-07-2022_12-30-09 | Received real pos: (-0.099694,1.109522,0.581973)
13-07-2022_12-30-09 | Recommend Rotation: 0.145182
13-07-2022_12-30-09 | Received virt pos: (-0.090893,1.105713,0.264600)
13-07-2022_12-30-09 | Received real pos: (-0.087515,1.072195,0.687666)
13-07-2022_12-30-09 | Recommend Rotation: 0.133622
13-07-2022_12-30-09 | Received virt pos: (-0.088883,1.102398,0.300664)
13-07-2022_12-30-09 | Received real pos: (-0.068325,1.068491,0.669673)
13-07-2022_12-30-09 | Recommend Rotation: 0.156603
13-07-2022_12-30-09 | Received virt pos: (-0.083744,1.097037,0.354505)
13-07-2022_12-30-09 | Received real pos: (-0.031179,1.042202,0.905050)
13-07-2022_12-30-09 | Recommend Rotation: 0.129158
13-07-2022_12-30-09 | Received virt pos: (-0.078424,1.093663,0.398948)
13-07-2022_12-30-09 | Received real pos: (-0.024011,1.059153,0.853590)
13-07-2022_12-30-09 | Recommend Rotation: 0.146906
13-07-2022_12-30-09 | Received virt pos: (-0.068653,1.090830,0.463021)
13-07-2022_12-30-09 | Received real pos: (0.031282,1.061853,1.118356)
13-07-2022_12-30-09 | Recommend Rotation: 0.123934
13-07-2022_12-30-09 | Received virt pos: (-0.054909,1.099577,0.532757)
13-07-2022_12-30-09 | Received real pos: (0.085677,1.189045,1.246031)
13-07-2022_12-30-09 | Recommend Rotation: 0.127491
13-07-2022_12-30-10 | Received virt pos: (-0.043509,1.108415,0.587049)
13-07-2022_12-30-10 | Received real pos: (0.073085,1.198814,1.142523)
13-07-2022_12-30-10 | Recommend Rotation: 0.144218
13-07-2022_12-30-10 | Received virt pos: (-0.029151,1.119328,0.647182)
13-07-2022_12-30-10 | Received real pos: (0.117711,1.230951,1.262064)
13-07-2022_12-30-10 | Recommend Rotation: 0.143487
13-07-2022_12-30-10 | Received virt pos: (-0.021343,1.126712,0.689058)
13-07-2022_12-30-10 | Received real pos: (0.058522,1.202238,1.117465)
13-07-2022_12-30-10 | Recommend Rotation: 0.132924
13-07-2022_12-30-10 | Received virt pos: (-0.012076,1.133366,0.742144)
13-07-2022_12-30-10 | Received real pos: (0.082707,1.201426,1.285211)
13-07-2022_12-30-10 | Recommend Rotation: 0.110047
13-07-2022_12-30-10 | Received virt pos: (-0.004973,1.137755,0.790948)
13-07-2022_12-30-10 | Received real pos: (0.067692,1.182648,1.289984)
13-07-2022_12-30-10 | Recommend Rotation: 0.093432
13-07-2022_12-30-10 | Received virt pos: (0.000115,1.141927,0.828022)
13-07-2022_12-30-10 | Received real pos: (0.052159,1.184600,1.207291)
13-07-2022_12-30-10 | Recommend Rotation: 0.094107
13-07-2022_12-30-10 | Received virt pos: (0.007736,1.144741,0.876747)
13-07-2022_12-30-10 | Received real pos: (0.085673,1.173524,1.375038)
13-07-2022_12-30-10 | Recommend Rotation: 0.094644
13-07-2022_12-30-10 | Received virt pos: (0.015297,1.145999,0.929765)
13-07-2022_12-30-10 | Received real pos: (0.092633,1.158865,1.472087)
13-07-2022_12-30-10 | Recommend Rotation: 0.080816
13-07-2022_12-30-10 | Received virt pos: (0.020666,1.143768,0.970964)
13-07-2022_12-30-10 | Received real pos: (0.075594,1.120948,1.392384)
13-07-2022_12-30-10 | Recommend Rotation: 0.076989
13-07-2022_12-30-10 | Received virt pos: (0.025884,1.140440,1.029568)
13-07-2022_12-30-10 | Received real pos: (0.079262,1.106400,1.628907)
13-07-2022_12-30-10 | Recommend Rotation: 0.042200
13-07-2022_12-30-10 | Received virt pos: (0.028446,1.133579,1.073943)
13-07-2022_12-30-10 | Received real pos: (0.054642,1.063402,1.527938)
13-07-2022_12-30-10 | Recommend Rotation: 0.023235
13-07-2022_12-30-10 | Received virt pos: (0.029405,1.122398,1.134840)
13-07-2022_12-30-10 | Received real pos: (0.039219,1.008034,1.757738)
13-07-2022_12-30-10 | Recommend Rotation: -0.005401
13-07-2022_12-30-10 | Received virt pos: (0.027913,1.117134,1.200853)
13-07-2022_12-30-10 | Received real pos: (0.012644,1.063291,1.875965)
13-07-2022_12-30-10 | Recommend Rotation: -0.028972
13-07-2022_12-30-10 | Received virt pos: (0.025197,1.114395,1.251813)
13-07-2022_12-30-10 | Received real pos: (-0.002583,1.086380,1.773065)
13-07-2022_12-30-10 | Recommend Rotation: -0.051858
13-07-2022_12-30-10 | Received virt pos: (0.019966,1.121154,1.322010)
13-07-2022_12-30-10 | Received real pos: (-0.033542,1.190287,2.039958)
