Time,VirtualPosition,RealPosition,Recommendation
"2022-05-15 17:45:20","(0.000000,1.117600,0.000000)","(0.000000,1.117600,0.000000)",0.000000
"2022-05-15 17:45:20","(-0.002523,1.114787,0.134764)","(0.028327,-1.086015,-1.513187)",0.000000
"2022-05-15 17:45:20","(-0.002346,1.114535,0.138813)","(0.000536,-1.111957,-0.180229)",0.000000
"2022-05-15 17:45:20","(-0.002447,1.114700,0.140656)","(0.003487,-1.116387,-0.159502)",0.000000
"2022-05-15 17:45:20","(-0.002804,1.115618,0.143296)","(0.006446,-1.125008,-0.170305)",0.250000
"2022-05-15 17:45:20","(-0.002911,1.115575,0.144129)","(0.004008,-1.115135,-0.152642)",0.250000
"2022-05-15 17:45:20","(-0.002853,1.115469,0.144975)","(0.002261,-1.114385,-0.153635)",0.082966
"2022-05-15 17:45:20","(-0.002785,1.115139,0.145440)","(0.002089,-1.111764,-0.150193)",0.159227
"2022-05-15 17:45:20","(-0.002623,1.114514,0.145897)","(0.000967,-1.108121,-0.150575)",0.250000
"2022-05-15 17:45:20","(-0.002201,1.114009,0.146852)","(-0.002114,-1.108844,-0.156614)",0.250000
"2022-05-15 17:45:21","(-0.001628,1.113191,0.148139)","(-0.004238,-1.104824,-0.161301)",0.250000
"2022-05-15 17:45:21","(-0.000512,1.112206,0.151768)","(-0.010898,-1.102131,-0.188894)",0.240579
"2022-05-15 17:45:21","(0.002090,1.110129,0.157554)","(-0.028709,-1.088885,-0.216730)",0.250000
"2022-05-15 17:45:21","(0.004423,1.110632,0.164118)","(-0.028281,-1.115776,-0.231254)",0.219859
"2022-05-15 17:45:21","(0.007831,1.110576,0.175311)","(-0.042686,-1.110004,-0.289799)",0.149465
"2022-05-15 17:45:21","(0.010700,1.108693,0.186108)","(-0.040044,-1.089433,-0.296547)",0.125660
"2022-05-15 17:45:21","(0.014542,1.105344,0.204918)","(-0.053843,-1.071090,-0.397314)",0.067118
"2022-05-15 17:45:21","(0.018140,1.096943,0.229265)","(-0.054947,-1.011014,-0.478299)",0.032756
"2022-05-15 17:45:21","(0.020953,1.091255,0.251078)","(-0.049727,-1.033075,-0.474185)",0.024130
"2022-05-15 17:45:21","(0.023260,1.089699,0.284946)","(-0.046849,-1.073784,-0.631361)",0.250000
"2022-05-15 17:45:21","(0.023211,1.087052,0.313887)","(-0.022714,-1.059977,-0.609912)",0.250000
"2022-05-15 17:45:21","(0.022961,1.080958,0.354861)","(-0.020399,-1.018626,-0.773959)",0.250000
"2022-05-15 17:45:21","(0.020311,1.071846,0.402488)","(0.006794,-0.978645,-0.889639)",0.250000
"2022-05-15 17:45:21","(0.016281,1.060479,0.440456)","(0.024933,-0.944213,-0.828807)",0.250000
"2022-05-15 17:45:21","(0.007908,1.047908,0.492468)","(0.077743,-0.919326,-1.024462)",0.250000
"2022-05-15 17:45:21","(-0.002409,1.047196,0.545174)","(0.107931,-1.039914,-1.084269)",0.250000
"2022-05-15 17:45:21","(-0.010652,1.059315,0.588817)","(0.094960,-1.183272,-1.035220)",0.250000
"2022-05-15 17:45:21","(-0.020407,1.070889,0.638946)","(0.120194,-1.189273,-1.151680)",0.250000
"2022-05-15 17:45:21","(-0.025263,1.081815,0.671634)","(0.074930,-1.193571,-1.005988)",0.250000
"2022-05-15 17:45:21","(-0.029214,1.094276,0.714231)","(0.069624,-1.221732,-1.149924)",0.250000
"2022-05-15 17:45:22","(-0.030287,1.099425,0.754288)","(0.041258,-1.152091,-1.164013)",0.007946
"2022-05-15 17:45:22","(-0.029696,1.105884,0.785479)","(0.023648,-1.171949,-1.104515)",0.039974
"2022-05-15 17:45:22","(-0.028838,1.108477,0.829133)","(0.020067,-1.135000,-1.275638)",0.034988
"2022-05-15 17:45:22","(-0.027459,1.107858,0.863211)","(0.013351,-1.101526,-1.211775)",0.051225
"2022-05-15 17:45:22","(-0.024556,1.104718,0.911372)","(-0.005132,-1.072601,-1.403978)",0.056649
"2022-05-15 17:45:22","(-0.020106,1.098059,0.961724)","(-0.025414,-1.029949,-1.476745)",0.071527
"2022-05-15 17:45:22","(-0.015619,1.090215,1.000986)","(-0.030278,-1.009982,-1.402576)",0.092868
"2022-05-15 17:45:22","(-0.008743,1.077808,1.055035)","(-0.061584,-0.950905,-1.607870)",0.089805
"2022-05-15 17:45:22","(-0.002214,1.075996,1.097262)","(-0.064565,-1.057462,-1.529177)",0.112706
"2022-05-15 17:45:22","(0.007389,1.082263,1.155581)","(-0.105610,-1.146364,-1.752091)",0.105722
"2022-05-15 17:45:22","(0.017566,1.094980,1.212410)","(-0.121663,-1.225055,-1.793679)",0.112608
"2022-05-15 17:45:22","(0.025296,1.103504,1.253250)","(-0.104365,-1.190690,-1.670978)",0.127228
"2022-05-15 17:45:22","(0.033328,1.112765,1.307874)","(-0.115479,-1.207490,-1.866590)",0.087312
"2022-05-15 17:45:22","(0.040457,1.115544,1.361348)","(-0.113378,-1.143969,-1.908302)",0.076388
"2022-05-15 17:45:22","(0.046513,1.118242,1.400033)","(-0.108456,-1.145839,-1.795718)",0.097836
"2022-05-15 17:45:22","(0.052655,1.121812,1.452491)","(-0.115475,-1.158327,-1.989053)",0.061929
"2022-05-15 17:45:22","(0.057558,1.119889,1.489497)","(-0.107711,-1.100220,-1.868008)",0.077148
"2022-05-15 17:45:22","(0.064076,1.116572,1.541005)","(-0.130739,-1.082644,-2.067850)",0.066784
"2022-05-15 17:45:22","(0.069539,1.108071,1.594052)","(-0.125420,-1.021119,-2.136637)",0.048099
"2022-05-15 17:45:22","(0.072718,1.098455,1.634859)","(-0.105230,-1.000098,-2.052249)",0.029841
"2022-05-15 17:45:23","(0.074133,1.089836,1.690235)","(-0.088615,-1.001678,-2.256643)",0.250000
"2022-05-15 17:45:23","(0.073423,1.089715,1.733132)","(-0.066160,-1.088477,-2.171900)",0.250000
"2022-05-15 17:45:23","(0.070989,1.095091,1.789499)","(-0.046090,-1.150079,-2.366044)",0.250000
"2022-05-15 17:45:23","(0.068384,1.109558,1.843506)","(-0.041743,-1.257532,-2.395911)",0.250000
"2022-05-15 17:45:23","(0.066367,1.109650,1.880476)","(-0.045734,-1.110591,-2.258620)",0.250000
"2022-05-15 17:45:23","(0.068047,1.117254,1.931605)","(-0.085229,-1.195031,-2.454573)",0.001161
"2022-05-15 17:45:23","(0.072181,1.119325,1.981707)","(-0.114471,-1.140508,-2.494170)",0.040675
"2022-05-15 17:45:23","(0.075757,1.123331,2.019935)","(-0.112329,-1.164305,-2.410945)",0.050661
"2022-05-15 17:45:23","(0.083117,1.124303,2.070246)","(-0.158394,-1.134245,-2.584848)",0.090066
"2022-05-15 17:45:23","(0.089649,1.122253,2.109141)","(-0.156469,-1.101284,-2.506976)",0.109905
"2022-05-15 17:45:23","(0.100031,1.116781,2.161324)","(-0.206218,-1.060812,-2.695072)",0.128340
"2022-05-15 17:45:23","(0.112669,1.106418,2.214847)","(-0.241931,-1.000421,-2.762302)",0.154669
"2022-05-15 17:45:23","(0.123102,1.097102,2.253698)","(-0.229820,-1.001815,-2.651082)",0.185160
"2022-05-15 17:45:23","(0.137505,1.088563,2.306224)","(-0.284818,-1.001222,-2.843481)",0.180035
"2022-05-15 17:45:23","(0.149308,1.089924,2.348476)","(-0.270034,-1.103845,-2.780645)",0.186605
"2022-05-15 17:45:23","(0.167130,1.097718,2.404511)","(-0.349424,-1.177438,-2.977660)",0.205822
"2022-05-15 17:45:23","(0.185715,1.115243,2.456592)","(-0.375809,-1.294495,-2.989299)",0.232772
"2022-05-15 17:45:23","(0.199342,1.122287,2.493329)","(-0.338723,-1.194337,-2.869089)",0.250000
"2022-05-15 17:45:23","(0.216220,1.126657,2.543700)","(-0.388859,-1.171355,-3.058914)",0.213626
"2022-05-15 17:45:23","(0.232143,1.127100,2.593359)","(-0.395013,-1.131631,-3.101291)",0.201098
"2022-05-15 17:45:24","(0.243223,1.127937,2.629426)","(-0.356552,-1.136498,-2.998334)",0.195006
"2022-05-15 17:45:24","(0.254632,1.129098,2.676059)","(-0.371325,-1.140974,-3.153040)",0.139423
"2022-05-15 17:45:24","(0.262271,1.131411,2.710368)","(-0.340403,-1.155068,-3.061293)",0.123193
"2022-05-15 17:45:24","(0.272369,1.130268,2.758909)","(-0.375656,-1.118577,-3.255406)",0.107810
"2022-05-15 17:45:24","(0.281709,1.123451,2.809486)","(-0.377241,-1.053724,-3.326807)",0.088160
"2022-05-15 17:45:24","(0.288610,1.115173,2.848826)","(-0.359196,-1.030502,-3.251211)",0.080971
"2022-05-15 17:45:24","(0.297325,1.103878,2.903672)","(-0.386474,-0.988349,-3.464659)",0.066609
"2022-05-15 17:45:24","(0.303120,1.100105,2.945732)","(-0.362392,-1.061514,-3.375940)",0.047953
"2022-05-15 17:45:24","(0.310019,1.104078,3.000958)","(-0.380586,-1.144716,-3.565830)",0.037225
"2022-05-15 17:45:24","(0.316072,1.121555,3.055243)","(-0.377976,-1.300316,-3.610492)",0.024836
"2022-05-15 17:45:24","(0.320975,1.130605,3.094458)","(-0.371126,-1.223172,-3.495566)",0.036488
"2022-05-15 17:45:24","(0.327995,1.131055,3.143424)","(-0.399805,-1.135658,-3.644267)",0.053841
"2022-05-15 17:45:24","(0.336596,1.133969,3.194255)","(-0.424564,-1.163774,-3.714176)",0.075875
"2022-05-15 17:45:24","(0.342988,1.135549,3.230978)","(-0.408375,-1.151710,-3.606595)",0.080391
"2022-05-15 17:45:24","(0.352057,1.135119,3.277112)","(-0.444816,-1.130721,-3.748989)",0.099607
"2022-05-15 17:45:24","(0.358872,1.136439,3.310933)","(-0.428580,-1.149940,-3.656869)",0.104253
"2022-05-15 17:45:24","(0.369383,1.135199,3.358679)","(-0.476885,-1.122516,-3.847044)",0.119275
"2022-05-15 17:45:24","(0.378130,1.128943,3.395733)","(-0.467601,-1.064954,-3.774737)",0.134128
"2022-05-15 17:45:24","(0.390822,1.119809,3.444896)","(-0.520641,-1.026383,-3.947753)",0.151487
"2022-05-15 17:45:24","(0.404974,1.111503,3.495006)","(-0.549734,-1.026546,-4.007552)",0.170944
"2022-05-15 17:45:25","(0.417484,1.105776,3.533778)","(-0.545438,-1.047197,-3.930352)",0.205148
"2022-05-15 17:45:25","(0.434792,1.101436,3.586442)","(-0.611819,-1.057045,-4.125111)",0.206244
"2022-05-15 17:45:25","(0.453751,1.109174,3.640269)","(-0.647680,-1.188321,-4.190834)",0.221737
"2022-05-15 17:45:25","(0.467816,1.121751,3.681552)","(-0.611679,-1.250393,-4.103810)",0.213290
"2022-05-15 17:45:25","(0.485511,1.129249,3.732378)","(-0.666502,-1.205942,-4.252247)",0.217113
"2022-05-15 17:45:25","(0.497181,1.130618,3.769822)","(-0.616540,-1.144621,-4.152813)",0.189894
"2022-05-15 17:45:25","(0.511148,1.132034,3.821455)","(-0.654011,-1.146517,-4.349579)",0.153679
"2022-05-15 17:45:25","(0.523375,1.133925,3.872523)","(-0.648437,-1.153267,-4.394868)",0.127180
"2022-05-15 17:45:25","(0.530658,1.137122,3.910182)","(-0.605152,-1.169823,-4.295373)",0.086319
"2022-05-15 17:45:25","(0.538428,1.139268,3.958741)","(-0.617898,-1.161218,-4.455421)",0.058117
"2022-05-15 17:45:25","(0.546983,1.138065,4.010810)","(-0.634493,-1.125760,-4.543392)",0.063604
"2022-05-15 17:45:25","(0.553666,1.132027,4.051467)","(-0.622020,-1.070268,-4.467323)",0.063709
"2022-05-15 17:45:25","(0.562967,1.122151,4.106006)","(-0.658101,-1.021135,-4.663855)",0.072520
"2022-05-15 17:45:25","(0.570011,1.111858,4.147520)","(-0.642066,-1.006577,-4.572141)",0.070848
"2022-05-15 17:45:25","(0.578432,1.105917,4.205123)","(-0.664566,-1.045150,-4.794308)",0.052225
"2022-05-15 17:45:25","(0.584925,1.108325,4.264249)","(-0.651337,-1.132955,-4.869012)",0.019085
"2022-05-15 17:45:25","(0.589083,1.121923,4.309634)","(-0.631607,-1.261008,-4.773854)",0.250000
"2022-05-15 17:45:25","(0.595070,1.136973,4.366543)","(-0.656310,-1.290911,-4.948627)",0.012681
"2022-05-15 17:45:25","(0.601942,1.138718,4.404976)","(-0.672235,-1.156566,-4.798085)",0.080714
"2022-05-15 17:45:26","(0.612378,1.141563,4.458016)","(-0.719123,-1.170663,-5.000531)",0.098286
"2022-05-15 17:45:26","(0.624288,1.145868,4.509543)","(-0.746108,-1.189900,-5.036582)",0.128271
"2022-05-15 17:45:26","(0.632878,1.147417,4.546827)","(-0.720738,-1.163261,-4.928181)",0.127864
"2022-05-15 17:45:26","(0.644127,1.148632,4.593638)","(-0.759190,-1.161061,-5.072441)",0.137304
"2022-05-15 17:45:26","(0.655113,1.149942,4.641395)","(-0.767474,-1.163341,-5.129874)",0.128430
"2022-05-15 17:45:26","(0.679535,1.139647,4.728737)","(-0.929341,-1.034345,-5.622104)",0.177884
"2022-05-15 17:45:26","(0.691759,1.131945,4.767442)","(-0.816785,-1.053166,-5.163336)",0.206461
"2022-05-15 17:45:26","(0.708891,1.123298,4.817603)","(-0.884122,-1.034853,-5.330669)",0.228617
"2022-05-15 17:45:26","(0.727955,1.123767,4.870579)","(-0.922954,-1.128564,-5.412435)",0.240106
"2022-05-15 17:45:26","(0.743045,1.134410,4.910717)","(-0.897393,-1.243271,-5.321267)",0.249487
"2022-05-15 17:45:26","(0.764956,1.149240,4.963085)","(-0.989074,-1.300927,-5.498728)",0.250000
"2022-05-15 17:45:26","(0.780897,1.153032,5.001260)","(-0.943944,-1.191817,-5.391725)",0.250000
"2022-05-15 17:45:26","(0.799852,1.152881,5.051845)","(-0.993735,-1.151337,-5.569251)",0.249786
"2022-05-15 17:45:26","(0.817494,1.156122,5.105614)","(-0.997935,-1.189272,-5.655586)",0.208843
"2022-05-15 17:45:26","(0.829713,1.156114,5.144654)","(-0.954697,-1.156032,-5.543967)",0.197886
"2022-05-15 17:45:26","(0.843894,1.155840,5.195968)","(-0.988948,-1.153038,-5.720832)",0.166344
"2022-05-15 17:45:26","(0.854620,1.155449,5.233635)","(-0.964322,-1.151450,-5.618906)",0.173604
"2022-05-15 17:45:26","(0.867940,1.152214,5.285139)","(-1.004182,-1.119125,-5.811944)",0.152739
"2022-05-15 17:45:26","(0.880252,1.144477,5.338023)","(-1.006182,-1.065339,-5.878943)",0.133074
"2022-05-15 17:45:27","(0.888613,1.135812,5.378243)","(-0.974134,-1.047183,-5.789627)",0.110638
"2022-05-15 17:45:27","(0.899424,1.121834,5.430531)","(-1.010002,-0.978861,-5.965354)",0.115032
"2022-05-15 17:45:27","(0.909082,1.119088,5.484787)","(-1.007870,-1.091001,-6.039739)",0.083115
"2022-05-15 17:45:27","(0.915587,1.120653,5.523940)","(-0.982120,-1.136660,-5.924414)",0.068617
"2022-05-15 17:45:27","(0.923720,1.133810,5.575290)","(-1.006916,-1.268385,-6.100520)",0.053047
"2022-05-15 17:45:27","(0.930116,1.141637,5.612266)","(-0.995528,-1.221694,-5.990470)",0.070071
"2022-05-15 17:45:27","(0.940012,1.148444,5.662457)","(-1.041231,-1.218070,-6.175830)",0.091723
"2022-05-15 17:45:27","(0.953780,1.148554,5.711759)","(-1.094604,-1.149678,-6.216041)",0.170032
"2022-05-15 17:45:27","(0.963801,1.151217,5.748582)","(-1.066302,-1.178455,-6.125220)",0.162694
"2022-05-15 17:45:27","(0.977248,1.150203,5.795971)","(-1.114787,-1.139831,-6.280685)",0.173748
"2022-05-15 17:45:27","(0.987155,1.149720,5.831128)","(-1.088492,-1.144779,-6.190730)",0.173044
"2022-05-15 17:45:27","(1.001353,1.146665,5.878931)","(-1.146576,-1.115417,-6.367878)",0.185698
"2022-05-15 17:45:27","(1.017900,1.139322,5.926830)","(-1.187149,-1.064216,-6.416758)",RESET:110.000000
"2022-05-15 17:45:27","(1.031439,1.132769,5.962839)","(-1.169921,-1.065742,-6.331157)",0.000000
"2022-05-15 17:45:27","(1.050528,1.123147,6.011950)","(-1.245779,-1.024730,-6.514276)",0.000000
"2022-05-15 17:45:27","(1.071539,1.119727,6.062244)","(-1.286448,-1.084746,-6.576670)",0.000000
"2022-05-15 17:45:27","(1.088147,1.123496,6.100253)","(-1.258020,-1.162047,-6.489026)",0.000000
"2022-05-15 17:45:27","(1.111296,1.135575,6.149944)","(-1.348073,-1.259124,-6.658200)",0.000000
"2022-05-15 17:45:31","(3.385959,1.110070,4.472795)","(-26.652121,-0.849194,12.681754)",0.000000
"2022-05-15 17:45:32","(3.416892,1.100820,4.447184)","(-3.733289,-1.006207,-4.185225)",0.000000
"2022-05-15 17:45:32","(3.461113,1.096384,4.413102)","(-3.913422,-1.051012,-4.064498)",0.000000
"2022-05-15 17:45:32","(3.505065,1.098352,4.379439)","(-3.954623,-1.118480,-4.035117)",0.000000
"2022-05-15 17:45:32","(3.536329,1.107341,4.354354)","(-3.856110,-1.199285,-4.097775)",0.000000
"2022-05-15 17:45:32","(3.579487,1.116799,4.318631)","(-4.020925,-1.213539,-3.953245)",0.000000
"2022-05-15 17:45:32","(3.611003,1.116548,4.291157)","(-3.933360,-1.113980,-4.010138)",0.000000
"2022-05-15 17:45:32","(3.650782,1.119763,4.255970)","(-4.057660,-1.152648,-3.896066)",0.000000
"2022-05-15 17:45:32","(3.689659,1.126453,4.219226)","(-4.087309,-1.194881,-3.843392)",0.000000
"2022-05-15 17:45:32","(3.716116,1.126983,4.193875)","(-3.986727,-1.132404,-3.934574)",0.000000
"2022-05-15 17:45:32","(3.752390,1.127699,4.159955)","(-4.123414,-1.135022,-3.813010)",0.000000
"2022-05-15 17:45:32","(3.789392,1.125638,4.124141)","(-4.167864,-1.104557,-3.757823)",0.000000
"2022-05-15 17:45:32","(3.815693,1.120970,4.096775)","(-4.084709,-1.073224,-3.816863)",0.000000
"2022-05-15 17:45:32","(3.850796,1.114782,4.059240)","(-4.209844,-1.051488,-3.675315)",0.000000
"2022-05-15 17:45:32","(3.876939,1.110208,4.030386)","(-4.144341,-1.063424,-3.735257)",0.000000
"2022-05-15 17:45:32","(3.910522,1.106086,3.990468)","(-4.254022,-1.063924,-3.582171)",0.000000
"2022-05-15 17:45:32","(3.941796,1.106021,3.949284)","(-4.261680,-1.105357,-3.528038)",0.000000
"2022-05-15 17:45:32","(3.965608,1.119977,3.917497)","(-4.209165,-1.262724,-3.592365)",0.000000
"2022-05-15 17:45:32","(3.998619,1.129913,3.872719)","(-4.336271,-1.231542,-3.414713)",0.000000
"2022-05-15 17:45:32","(4.023999,1.128392,3.840364)","(-4.283597,-1.112835,-3.509423)",0.000000
"2022-05-15 17:45:33","(4.059307,1.127263,3.800216)","(-4.420450,-1.115715,-3.389566)",0.000000
"2022-05-15 17:45:33","(4.095160,1.129460,3.758213)","(-4.461878,-1.151932,-3.328590)",0.000000
"2022-05-15 17:45:33","(4.122042,1.131197,3.728842)","(-4.397004,-1.148964,-3.428423)",0.000000
"2022-05-15 17:45:33","(4.158817,1.133585,3.690308)","(-4.534963,-1.158010,-3.296168)",0.000000
"2022-05-15 17:45:33","(4.187788,1.133008,3.660667)","(-4.484117,-1.127106,-3.357485)",0.000000
"2022-05-15 17:45:33","(4.224878,1.129273,3.620696)","(-4.604247,-1.091071,-3.211858)",0.000000
"2022-05-15 17:45:33","(4.264856,1.119178,3.581933)","(-4.673767,-1.015922,-3.185449)",0.000000
